layer,neuron,n,mean_effect,mean_abs_effect,sign_consistency,examples
20,2467,3,0.10824553854763508,0.15657567294935384,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.3972318172454834}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.009171897545456886}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.06332330405712128}]"
21,2612,8,-0.15221739560365677,0.15221739560365677,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.20620697736740112}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.017309915274381638}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.0191430002450943}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.08342274278402328}]"
20,175,1,0.1463303118944168,0.1463303118944168,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.1463303118944168}]"
21,168,1,0.13454394042491913,0.13454394042491913,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.13454394042491913}]"
23,2505,9,0.1261657698907786,0.1261657698907786,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.008122785948216915}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.0405503511428833}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.16204091906547546}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.10175985097885132}]"
22,4862,5,0.051268082857131955,0.1258910685777664,0.6,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.11948700249195099}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.052969761192798615}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.15150423347949982}, {""suite"": ""text"", ""token"": "" The"", ""effect"": 0.27044111490249634}]"
23,537,9,-0.12454451434314251,0.12454451434314251,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.01941906474530697}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.08008690178394318}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.1956651359796524}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.040491148829460144}]"
19,1167,2,0.1088564028032124,0.12420437438413501,0.5,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.015347971580922604}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.2330607771873474}]"
23,3383,8,-0.10821706359274685,0.10821706359274685,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.0888960212469101}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.02564770169556141}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.09143771231174469}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.07685815542936325}]"
18,2668,7,0.10083936766854354,0.10563563209559236,0.8571428571428571,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.009221512824296951}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.06359552592039108}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.034087225794792175}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.36167436838150024}]"
20,3821,1,0.10523703694343567,0.10523703694343567,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.10523703694343567}]"
23,4861,9,-0.10293578097803725,0.10293578097803725,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.013912801630795002}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.0543149895966053}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.06610503792762756}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.05175141245126724}]"
23,1343,1,-0.10190898180007935,0.10190898180007935,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.10190898180007935}]"
21,2930,9,0.07629735892017682,0.09895945464571317,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.15111443400382996}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.029513992369174957}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.10729265958070755}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.10617980360984802}]"
23,4391,8,-0.08215647633187473,0.09781871107406914,0.625,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.029911883175373077}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.0694824680685997}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.020894259214401245}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.026133418083190918}]"
21,1701,2,0.09630307927727699,0.09630307927727699,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.03752439469099045}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.15508176386356354}]"
22,3450,1,-0.09411070495843887,0.09411070495843887,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.09411070495843887}]"
23,4283,6,0.034687667774657406,0.09130078026403983,0.5,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.03022162802517414}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.08937050402164459}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.042717345058918}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.037751488387584686}]"
20,3531,1,0.0908442884683609,0.0908442884683609,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.0908442884683609}]"
19,3567,1,0.08815161883831024,0.08815161883831024,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.08815161883831024}]"
21,4663,8,0.08773942722473294,0.08773942722473294,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.013463806360960007}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.030371863394975662}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.04075312986969948}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.07514698058366776}]"
19,476,4,0.05761452903971076,0.08707069465890527,0.75,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.28937044739723206}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.008548399433493614}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.008353672921657562}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.04201025888323784}]"
21,1882,1,0.08501717448234558,0.08501717448234558,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.08501717448234558}]"
20,2121,3,-0.08439711605509122,0.08439711605509122,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.06506435573101044}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.15522737801074982}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.03289961442351341}]"
23,4484,3,-0.08379217175145943,0.08379217175145943,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": -0.017796965315937996}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.1799454241991043}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.053634125739336014}]"
23,3728,7,0.057220340972500186,0.07953798118978739,0.5714285714285714,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.0356731154024601}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.03578057140111923}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.013761758804321289}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.013281390070915222}]"
22,2324,1,-0.07948625087738037,0.07948625087738037,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.07948625087738037}]"
22,2270,7,-0.07163790387234517,0.07914380369974035,0.7142857142857143,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.10785166174173355}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.026391785591840744}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.011759916320443153}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.01451073307543993}]"
19,3100,2,-0.07795252744108438,0.07795252744108438,1.0,"[{""suite"": ""math"", ""token"": "" The"", ""effect"": -0.12569929659366608}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.030205758288502693}]"
20,1942,3,0.0770150584479173,0.0770150584479173,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.03627615049481392}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.14284685254096985}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.05192217230796814}]"
19,1628,4,0.07279299083165824,0.07279299083165824,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.01106194220483303}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.18071439862251282}, {""suite"": ""text"", ""token"": "" The"", ""effect"": 0.08796363323926926}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.011431989260017872}]"
20,706,2,0.07204348407685757,0.07204348407685757,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.0960438996553421}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.04804306849837303}]"
21,4145,2,0.0718512050807476,0.0718512050807476,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.07608100026845932}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.06762140989303589}]"
21,3741,3,-0.07176604960113764,0.07176604960113764,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.010828080587089062}, {""suite"": ""math"", ""token"": "" The"", ""effect"": -0.172493577003479}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.03197649121284485}]"
20,1990,1,0.0695173591375351,0.0695173591375351,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.0695173591375351}]"
23,1571,1,0.06805909425020218,0.06805909425020218,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.06805909425020218}]"
21,3936,8,0.06801312870811671,0.06801312870811671,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.009067675098776817}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.02995210886001587}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.009796740487217903}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.025456726551055908}]"
20,2682,1,0.06738429516553879,0.06738429516553879,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.06738429516553879}]"
19,3070,2,-0.06554194493219256,0.06554194493219256,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": -0.11908852308988571}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.011995366774499416}]"
20,4715,1,0.06506060063838959,0.06506060063838959,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.06506060063838959}]"
23,3007,6,-0.06493219065790375,0.06493219065790375,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.007036578841507435}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.021090839058160782}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.029652586206793785}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.029652586206793785}]"
19,48,8,0.06394356291275471,0.06394356291275471,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.20753571391105652}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.06903112679719925}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.04031266272068024}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.05125737190246582}]"
23,2582,1,0.06325165927410126,0.06325165927410126,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.06325165927410126}]"
23,2999,1,-0.0629686638712883,0.0629686638712883,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.0629686638712883}]"
18,2729,2,0.061066774651408195,0.061066774651408195,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.08887092024087906}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.03326262906193733}]"
23,42,9,0.06019132170412275,0.06019132170412275,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.011459733359515667}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.05221068114042282}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.0504317581653595}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.049205292016267776}]"
21,3070,1,0.059657059609889984,0.059657059609889984,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.059657059609889984}]"
21,993,1,-0.05943099036812782,0.05943099036812782,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": -0.05943099036812782}]"
23,1863,8,-0.035109763499349356,0.05839149979874492,0.75,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.03743073716759682}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.06051404029130936}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.07455351948738098}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.06447871774435043}]"
21,2940,8,0.04074315750040114,0.058031068881973624,0.625,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.021699242293834686}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.06614065915346146}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.04161875694990158}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.008164532482624054}]"
20,4491,2,0.05754646100103855,0.05754646100103855,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.05340750515460968}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.06168541684746742}]"
19,2738,4,0.050369937904179096,0.056527089327573776,0.75,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.01231430284678936}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.028766999021172523}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.09267059713602066}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.09235645830631256}]"
22,3081,1,-0.056433673948049545,0.056433673948049545,1.0,"[{""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.056433673948049545}]"
20,3920,3,0.05631763984759649,0.05631763984759649,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.050462983548641205}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.07230649888515472}, {""suite"": ""text"", ""token"": "" The"", ""effect"": 0.04618343710899353}]"
22,4271,7,0.05571473230208669,0.05571473230208669,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.01334933377802372}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.05414378270506859}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.05665263906121254}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.07243255525827408}]"
23,458,2,-0.05440394952893257,0.05440394952893257,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": -0.07543695718050003}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.03337094187736511}]"
23,4157,7,0.05427886598876545,0.05427886598876545,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.07898514717817307}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.07808230072259903}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.03732370212674141}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.024122735485434532}]"
23,900,8,-0.035935922991484404,0.05416325246915221,0.875,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.0557565875351429}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.07290931791067123}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.017917990684509277}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.05810392275452614}]"
20,494,1,-0.05370764061808586,0.05370764061808586,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.05370764061808586}]"
23,2807,3,0.05326299897084633,0.05326299897084633,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.011377167887985706}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.0936887115240097}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": 0.054723117500543594}]"
22,880,1,0.053168825805187225,0.053168825805187225,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.053168825805187225}]"
23,882,2,0.006952783092856407,0.053065137937664986,0.5,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.04611235484480858}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.06001792103052139}]"
23,1843,9,0.03049210976395342,0.05271569515268008,0.5555555555555556,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.03027156926691532}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.08455382287502289}, {""suite"": ""code"", ""token"": "" def"", ""effect"": -0.0154230622574687}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.022012578323483467}]"
20,1349,2,0.02910126931965351,0.05228522978723049,0.5,"[{""suite"": ""text"", ""token"": "" The"", ""effect"": -0.02318396046757698}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.081386499106884}]"
21,3682,1,-0.05200452730059624,0.05200452730059624,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.05200452730059624}]"
23,373,2,-0.05184924020431936,0.05184924020431936,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.006794679444283247}, {""suite"": ""text"", ""token"": "" Exercise"", ""effect"": -0.09690380096435547}]"
19,2978,1,0.05184745416045189,0.05184745416045189,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.05184745416045189}]"
23,966,4,-0.03545482340268791,0.05132419127039611,0.75,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.03173873573541641}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.015040376223623753}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.012181023135781288}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.146336629986763}]"
20,637,1,0.051043372601270676,0.051043372601270676,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.051043372601270676}]"
23,161,1,-0.05057636275887489,0.05057636275887489,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.05057636275887489}]"
20,3925,1,0.050362784415483475,0.050362784415483475,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.050362784415483475}]"
22,1069,6,0.023197674037267763,0.04993193301682671,0.6666666666666666,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.04464469105005264}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.02985195815563202}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.01247700396925211}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.03555808588862419}]"
21,3004,2,0.049860427621752024,0.049860427621752024,1.0,"[{""suite"": ""text"", ""token"": "" The"", ""effect"": 0.007729438133537769}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.09199141710996628}]"
23,3655,1,0.04907381534576416,0.04907381534576416,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.04907381534576416}]"
23,356,1,0.048940759152173996,0.048940759152173996,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": 0.048940759152173996}]"
22,2419,2,0.048404594883322716,0.048404594883322716,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.0485144667327404}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.04829472303390503}]"
23,3142,6,-0.04446818369130293,0.048153581097722054,0.8333333333333334,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.03940185531973839}, {""suite"": ""code"", ""token"": "" def"", ""effect"": 0.011056192219257355}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.11210688948631287}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.04016631841659546}]"
20,3159,2,0.04802752239629626,0.04802752239629626,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.08356133848428726}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.012493706308305264}]"
19,1995,1,-0.04794510453939438,0.04794510453939438,1.0,"[{""suite"": ""text"", ""token"": "" The"", ""effect"": -0.04794510453939438}]"
22,471,1,-0.04785434529185295,0.04785434529185295,1.0,"[{""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.04785434529185295}]"
23,1341,5,-0.04782930798828602,0.04782930798828602,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": -0.026622988283634186}, {""suite"": ""math"", ""token"": "" To"", ""effect"": -0.016804669052362442}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.049531757831573486}, {""suite"": ""text"", ""token"": "" Photos"", ""effect"": -0.12149365991353989}]"
23,1926,6,-0.01411050899575154,0.04766006674617529,0.5,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.03877898305654526}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.046188488602638245}, {""suite"": ""math"", ""token"": "" The"", ""effect"": 0.025649571791291237}, {""suite"": ""text"", ""token"": "" The"", ""effect"": 0.03622011840343475}]"
19,4537,1,0.04764425754547119,0.04764425754547119,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.04764425754547119}]"
14,174,1,-0.047622811049222946,0.047622811049222946,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": -0.047622811049222946}]"
19,835,2,0.03935652505606413,0.04752046335488558,0.5,"[{""suite"": ""math"", ""token"": "" The"", ""effect"": 0.08687698841094971}, {""suite"": ""text"", ""token"": "" The"", ""effect"": -0.00816393829882145}]"
19,1588,1,0.04714256897568703,0.04714256897568703,1.0,"[{""suite"": ""code"", ""token"": "" def"", ""effect"": 0.04714256897568703}]"
23,3010,1,-0.046947043389081955,0.046947043389081955,1.0,"[{""suite"": ""code"", ""token"": "" Sure"", ""effect"": -0.046947043389081955}]"
17,1752,6,0.046818509697914124,0.046818509697914124,1.0,"[{""suite"": ""code"", ""token"": "" The"", ""effect"": 0.09848420321941376}, {""suite"": ""code"", ""token"": "" Sure"", ""effect"": 0.021389182657003403}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.040952056646347046}, {""suite"": ""math"", ""token"": "" To"", ""effect"": 0.06469446420669556}]"
20,1612,1,0.04670863226056099,0.04670863226056099,1.0,"[{""suite"": ""math"", ""token"": "" To"", ""effect"": 0.04670863226056099}]"
