particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
particle0_best_lepton,L2_ch160:192,label_Hqql,3.323591026336222,-2.180467781897984,-8.042283350795545,-5.5040588082342055,5.861815568897561,0,5.5040588082342055,32.26377761423502,PATH: particle0_best_lepton -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-5.5041; B-C=5.8618; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch32:64,label_Hqql,0,-4.021758187012097,-1.7465523013187552,-4.021758187012097,-2.2752058856933415,0,4.021758187012097,9.150327897925305,PATH: particle0 -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-4.0218; B-C=-2.2752; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch128:160,label_Hqql,6.537758655529274,2.7146860269226636,0.26426725390215366,-3.82307262860661,2.45041877302051,0,3.82307262860661,9.368128939758504,PATH: particle0 -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-3.8231; B-C=2.4504; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L2_ch96:128,label_Hqql,0,-3.3424802787111503,-1.7448084528749064,-3.3424802787111503,-1.597671825836244,0,3.3424802787111503,5.340186569710081,PATH: other_lepton -> L2_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-3.3425; B-C=-1.5977; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch0:32,label_Hqql,596.7786039340359,593.5671929463305,98.04887564693367,-3.211410987705449,495.5183172993968,0,3.211410987705449,1591.3129687845978,PATH: photon_neighbor -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-3.2114; B-C=495.5183; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L2_ch32:64,label_Hqql,0,-3.143704378980715,-1.5610633806412082,-3.143704378980715,-1.5826409983395067,0,3.143704378980715,4.975355436834318,PATH: other_lepton -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-3.1437; B-C=-1.5826; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch32:64,label_Hqql,0.13240755547548133,-2.8120697732964572,0.28129887466090236,-2.9444773287719386,-3.0933686479573597,0,2.9444773287719386,9.10835385344435,PATH: best_lepton -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.9445; B-C=-3.0934; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch32:64,label_Hqql,0.2585005843852418,-2.592463767690173,-1.971050365660724,-2.850964352075415,-0.6214134020294493,0,2.850964352075415,1.771627457087868,PATH: particle0_best_lepton -> L2_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.8510; B-C=-0.6214; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch0:32,label_Hqql,2.64220338000527,0,3.183720561005815,-2.64220338000527,-3.183720561005815,0,2.64220338000527,8.41203722728184,PATH: best_lepton -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.6422; B-C=-3.1837; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch64:96,label_Hqql,5.0509153758772545,2.526434914918325,5.638873949571561,-2.5244804609589293,-3.112439034653236,0,2.5244804609589293,7.857291528907966,PATH: particle0_best_lepton -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.5245; B-C=-3.1124; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch64:96,label_Hqql,3.6237026522372844,1.4728018083241068,5.100933083721471,-2.1509008439131776,-3.6281312753973642,0,2.1509008439131776,7.803750622079984,PATH: best_lepton -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.1509; B-C=-3.6281; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch128:160,label_Hqql,11.713934538010221,9.578150246056794,-1.043609850227973,-2.135784291953428,10.621760096284767,0,2.135784291953428,22.685788366542734,PATH: best_lepton -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.1358; B-C=10.6218; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch128:160,label_Hqql,4.496306062211858,2.3987151831477327,-1.0067221691907775,-2.097590879064125,3.4054373523385104,0,2.097590879064125,7.143214329489542,PATH: second_lepton -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.0976; B-C=3.4054; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch0:32,label_Hqql,2.0155467459489134,0,2.121826046463987,-2.0155467459489134,-2.121826046463987,0,2.0155467459489134,4.2766395834201365,PATH: photon_neighbor -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.0155; B-C=-2.1218; NEXT_PROBE: inspect particle geometry/source blocks.
