particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
second_lepton,L1_ch96:112,label_Hqql,1,73.45636233219739,1,91.45738563486157,16,21.69309601750672,18.00102330266418,69.76428961735485,0.0,0.0,1255.8286030958172,anomalous_third_topology_candidate
hadron_neighbor,L0_ch8:16,label_Hqql,39,30.413406862690945,7,-6.564151895061984,128,-38.334492379517044,-36.97755875775293,31.770340484455062,0.0,36.97755875775293,1174.7896320177538,source_evidence_loss_candidate
hadron_neighbor,L1_ch64:80,label_Tbl,35,18.265551370432437,13,43.38359081601178,123,-2.9021244579777408,25.118039445579345,46.285715273989524,0.5311971977168343,0.0,1162.6064220189232,anomalous_third_topology_candidate
hadron_neighbor,L1_ch80:96,label_Hqql,44,82.54032134799223,14,72.08012710699931,158,-37.73458933273504,-10.46019424099292,109.81471643973435,0.0,10.46019424099292,1148.6832644791798,source_evidence_loss_candidate
hadron_neighbor,L0_ch0:8,label_Hqql,23,24.8797707785046,9,-2.718342539173259,82,-44.20927952119011,-27.59811331767786,41.490936982016855,0.0,27.59811331767786,1145.0715804863323,source_evidence_loss_candidate
particle0_best_lepton,L1_ch80:96,label_Tbl,1,19.04647764829747,1,123.20022710035482,21,112.52319375257949,104.15374945205735,10.677033347775335,8.91953858056767,0.0,1112.0530561954533,target_like_trigger_candidate
hardest_hadron,L0_ch56:64,label_Hqql,1,33.80837830569362,0,0.0,4,30.712540418883805,-33.80837830569362,-30.712540418883805,0.0,33.80837830569362,1038.3411852105298,source_evidence_loss_candidate
hardest_hadron,L1_ch32:48,label_Tbl,3,21.32495872367743,0,0.0,7,47.01375169352351,-21.32495872367743,-47.01375169352351,0.44414272935380544,0.0,1002.5663143096087,anomalous_third_topology_candidate
particle0_best_lepton,L0_ch8:16,label_Hqql,13,37.02690255484531,3,4.180790646568805,59,-25.343567943762352,-32.846111908276505,29.524358590331158,0.0,32.846111908276505,969.7603862781019,source_evidence_loss_candidate
particle0,L1_ch112:128,label_Hqql,0,0.0,1,47.88621135959147,15,67.9791037496402,47.88621135959147,-20.092892390048732,0.0,0.0,962.1724918154006,anomalous_third_topology_candidate
second_lepton,L0_ch40:48,label_Hqql,0,0.0,1,10.515518948662248,19,101.3860055869957,10.515518948662248,-90.87048663833345,0.0,0.0,955.550324119555,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L1_ch64:80,label_Tbl,3,10.609283531814299,2,35.275063224712994,19,0.25518278903529645,24.665779692898695,35.0198804356777,0.6847823866863043,0.0,863.7926556980793,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L1_ch112:128,label_Hqql,4,126.66768715302669,1,138.57487519303686,35,67.22623584756904,11.907188040010169,71.34863934546782,0.0,0.0,849.5616650853534,anomalous_third_topology_candidate
particle0_best_lepton,L1_ch96:112,label_Tbl,4,35.663669503870096,0,0.0,28,22.77873587682899,-35.663669503870096,-22.77873587682899,1.4998135177834366,0.0,812.3733080271777,target_like_trigger_candidate
hadron_neighbor,L0_ch16:24,label_Hqql,74,7.463924514594757,18,-7.677860951564355,227,-60.93379227877322,-15.141785466159112,53.25593132720886,0.0,15.141785466159112,806.389886957099,source_evidence_loss_candidate
hard_hadron,L0_ch0:8,label_Tbl,3,25.592965299244423,0,0.0,2,30.116278731240527,-25.592965299244423,-30.116278731240527,0.8224944094471446,0.0,770.7648765110116,anomalous_third_topology_candidate
photon_neighbor,L1_ch16:32,label_Hqql,61,155.43111575270697,18,159.93129519515026,244,322.327047557379,4.500179442443283,-162.39575236222873,0.0,0.0,730.810026320612,anomalous_third_topology_candidate
hardest_hadron,L0_ch32:40,label_Tbl,11,4.45481431784992,3,-27.256375515156908,38,-4.910097259813448,-31.711189833006827,-22.34627825534346,1.358297433371369,0.0,708.627071816389,target_like_trigger_candidate
particle0_best_lepton,L1_ch48:64,label_Tbl,2,19.74165837590533,0,0.0,5,-35.35240697802628,-19.74165837590533,35.35240697802628,0.5430633076879463,0.0,697.9151413261666,anomalous_third_topology_candidate
other_lepton,L0_ch40:48,label_Hqql,0,0.0,1,146.0116226464088,2,141.27215733278126,146.0116226464088,4.739465313627534,0.0,0.0,692.0170209191269,anomalous_third_topology_candidate
photon_neighbor,L0_ch16:24,label_Hqql,13,9.91636593091233,8,-2.6666951283614964,76,-57.44365752439666,-12.583061059273826,54.77696239603517,0.0,12.583061059273826,689.2618624708567,source_evidence_loss_candidate
hadron_neighbor,L1_ch96:112,label_Tbl,37,20.731428225256092,16,47.39175024014196,120,22.132829735339556,26.660322014885868,25.258920504802404,1.01528629137706,0.0,673.4109544064356,target_like_trigger_candidate
second_lepton,L0_ch56:64,label_Hqql,1,30.421543486651444,0,0.0,2,21.756376175233072,-30.421543486651444,-21.756376175233072,0.0,30.421543486651444,661.8625439268003,source_evidence_loss_candidate
hard_hadron,L1_ch64:80,label_Hqql,2,11.85796155377102,0,0.0,25,-55.579625414853574,-11.85796155377102,55.579625414853574,0.0,11.85796155377102,659.0610613423283,source_evidence_loss_candidate
second_lepton,L1_ch80:96,label_Hqql,1,84.81824360274004,0,0.0,4,7.655006286758464,-84.81824360274004,-7.655006286758464,0.0,84.81824360274004,649.2841880107859,source_evidence_loss_candidate
photon_neighbor,L0_ch0:8,label_Hqql,68,19.42587951901505,23,8.693316938994881,289,-50.73059564258173,-10.73256258002017,59.423912581576616,0.0,10.73256258002017,637.770860531419,source_evidence_loss_candidate
other_lepton,L1_ch48:64,label_Tbl,1,13.106327289623096,0,0.0,5,48.54617817382168,-13.106327289623096,-48.54617817382168,0.26452751297269544,0.0,636.2620998064642,anomalous_third_topology_candidate
hard_hadron,L0_ch16:24,label_Hqql,7,3.7495463531882445,4,-35.54807719823802,23,-51.596617757625246,-39.29762355142626,16.048540559387227,0.0,39.29762355142626,630.6695054525951,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L1_ch96:112,label_Hqql,4,76.1644172132028,0,0.0,28,7.818602194212182,-76.1644172132028,-7.818602194212182,0.0,76.1644172132028,595.4992795440395,source_evidence_loss_candidate
particle0_best_lepton,L0_ch40:48,label_Hqql,16,82.74795658885387,3,61.041095222794105,38,88.34489796529174,-21.706861366059762,-27.30380274249763,0.0,21.706861366059762,592.6798608976384,source_evidence_loss_candidate
photon_neighbor,L0_ch16:24,label_Tbl,13,28.643518807847798,8,46.61143200724965,76,14.367489991866478,17.96791319940185,32.24394201538317,0.5404868409133745,0.0,579.3563513389511,anomalous_third_topology_candidate
hadron_neighbor,L1_ch96:112,label_Hqql,37,60.213710097385636,16,71.51797186282975,120,20.466709281687898,11.304261765444117,51.051262581141856,0.0,0.0,577.0968356736498,anomalous_third_topology_candidate
second_lepton,L1_ch48:64,label_Hqql,1,24.44040708806733,0,0.0,8,-22.74129622825177,-24.44040708806733,22.74129622825177,0.0,24.44040708806733,555.8065375288035,source_evidence_loss_candidate
hard_hadron,L1_ch80:96,label_Hqql,5,53.779543788583666,7,42.34308002591196,24,-6.1673506078550036,-11.436463762671707,48.510430633766966,0.0,11.436463762671707,554.7877820546754,source_evidence_loss_candidate
particle0_best_lepton,L1_ch112:128,label_Tbl,22,68.27487491926988,8,80.69274007824987,61,124.50919013991417,12.417865158979993,-43.8164500616643,0.27708274845271946,0.0,544.1067686109278,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L0_ch56:64,label_Hqql,2,26.47583433227419,1,-3.974432262684786,28,13.840522825089693,-30.450266594958975,-17.81495508777448,0.0,30.450266594958975,542.4701317999536,source_evidence_loss_candidate
particle0,L0_ch32:40,label_Hqql,1,-1.269825282122497,1,12.673335532545025,17,-26.189449163242564,13.943160814667522,38.86278469578759,0.0,0.0,541.8700567191662,anomalous_third_topology_candidate
photon_neighbor,L1_ch64:80,label_Tbl,55,17.677728890868142,17,32.90316344037394,198,-2.6656188227527386,15.225434549505795,35.56878226312668,0.41635060308962013,0.0,541.5501663528579,anomalous_third_topology_candidate
hadron_neighbor,L1_ch112:128,label_Tbl,29,66.9895162111146,10,85.63329649368839,119,57.72138095113518,18.643780282573786,27.91191554255321,0.6448476322896506,0.0,520.3836206411183,anomalous_third_topology_candidate
hard_hadron,L1_ch48:64,label_Hqql,8,28.81721525556722,5,12.599478311109555,55,-18.269396337152813,-16.217736944457663,30.86887464826237,0.0,16.217736944457663,500.6232888169572,source_evidence_loss_candidate
photon_neighbor,L1_ch32:48,label_Hqql,17,6.1988275289201695,6,16.1888763389173,51,-31.87073588945381,9.99004880999713,48.05961222837111,0.0,0.0,480.11787195096235,anomalous_third_topology_candidate
other_lepton,L0_ch16:24,label_Tbl,0,0.0,1,-11.440993219957136,2,30.034817530183545,-11.440993219957136,-41.47581075014068,0.26935314518791714,0.0,474.52446958458484,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L1_ch0:16,label_Hqql,1,-2.8076722896494175,1,-35.052229095867006,14,-20.484916865177247,-32.24455680621759,-14.567312230689758,0.0,32.24455680621759,469.71652673638414,source_evidence_loss_candidate
hard_hadron,L0_ch0:8,label_Hqql,3,21.185199614722553,0,0.0,2,-21.879795466821292,-21.185199614722553,21.879795466821292,0.0,21.185199614722553,463.5278344939107,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L0_ch16:24,label_Hqql,2,8.739456732398537,0,0.0,25,-52.95532508687155,-8.739456732398537,52.95532508687155,0.0,8.739456732398537,462.80077234681266,source_evidence_loss_candidate
other_lepton,L0_ch16:24,label_Hqql,0,0.0,1,-28.680087995861186,2,-14.225781717040718,-28.680087995861186,-14.454306278820468,0.0,28.680087995861186,414.5507759956999,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L0_ch16:24,label_Tbl,2,30.67134093162781,0,0.0,25,12.965541813924737,-30.67134093162781,-12.965541813924737,2.196215609840936,0.0,397.6705533381617,target_like_trigger_candidate
hadron_neighbor,L1_ch0:16,label_Hqql,20,4.259309363581144,6,-22.24429410569731,72,-37.21529907658837,-26.503603469278453,14.971004970891062,0.0,26.503603469278453,396.7855792850933,source_evidence_loss_candidate
particle0,L2_ch224:256,label_Tbl,1,12.49308847822249,1,31.870878759591506,20,11.632968495358588,19.377790281369016,20.237910264232916,0.9124151124229696,0.0,392.1659808334708,anomalous_third_topology_candidate
particle0,L1_ch32:48,label_Tbl,0,0.0,1,58.997495533352776,8,52.49641322901681,58.997495533352776,6.5010823043359665,7.8651977327657825,0.0,383.54757421202,target_like_trigger_candidate
second_lepton,L1_ch96:112,label_Tbl,1,56.6241145934905,1,64.91781674468439,16,19.010594682022656,8.293702151193884,45.90722206266173,0.17681077212619017,0.0,380.7408263764329,anomalous_third_topology_candidate
hard_hadron,L1_ch80:96,label_Tbl,5,60.18871414948171,7,84.78252297797833,24,69.43119817708134,24.59380882849662,15.35132480089699,1.5040866185440502,0.0,377.5475474174195,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L0_ch24:32,label_Hqql,6,21.26031230492352,2,7.685011758027599,21,35.49634133769449,-13.575300546895921,-27.81132957966689,0.0,13.575300546895921,377.5471576527546,source_evidence_loss_candidate
hardest_hadron,L1_ch96:112,label_Tbl,0,0.0,1,31.847050140480405,17,20.217069834580865,31.847050140480405,11.62998030589954,2.5215439271591307,0.0,370.3805659347823,target_like_trigger_candidate
photon_neighbor,L1_ch64:80,label_Hqql,55,10.313647475327933,17,0.3389737895350957,198,-35.70304998878327,-9.974673685792837,36.04202377831837,0.0,9.974673685792837,359.50742616431194,source_evidence_loss_candidate
hardest_hadron,L0_ch24:32,label_Hqql,2,16.888229768496444,1,44.267750196656834,12,31.847808960898117,27.37952042816039,12.419941235758717,0.0,0.0,340.0520347810074,anomalous_third_topology_candidate
hadron_neighbor,L1_ch112:128,label_Hqql,29,101.45496623006402,10,86.21302678742616,119,64.20329545070358,-15.241939442637857,22.00973133672258,0.0,15.241939442637857,335.47099218305436,source_evidence_loss_candidate
hard_hadron,L0_ch40:48,label_Tbl,5,51.38312166938026,4,26.681350145123872,47,39.43512776898126,-24.701771524256387,-12.753777623857388,1.7959990483929695,0.0,315.04090093569874,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L1_ch96:112,label_Tbl,4,37.930778435283855,0,0.0,28,8.298026479086095,-37.930778435283855,-8.298026479086095,4.079444011113644,0.0,314.7506038283333,target_like_trigger_candidate
particle0,L2_ch224:256,label_Hqql,1,11.83553345312248,1,33.96180009834643,20,19.893790010445542,22.12626664522395,14.068010087900888,0.0,0.0,311.27254237259547,anomalous_third_topology_candidate
photon_neighbor,L1_ch48:64,label_Hqql,44,28.48646452734191,14,17.559324937788315,122,-10.46793802691077,-10.927139589553594,28.027262964699084,0.0,10.927139589553594,306.2578147283926,source_evidence_loss_candidate
photon_neighbor,L1_ch96:112,label_Tbl,39,19.394321279493333,11,34.96468440345368,115,15.89145859177687,15.570363123960348,19.073225811676814,0.7756781730070957,0.0,296.9770518331013,anomalous_third_topology_candidate
particle0,L1_ch112:128,label_Tbl,0,0.0,1,44.09184095851742,15,37.421422501422995,44.09184095851742,6.670418457094428,5.748296680963546,0.0,294.1110297369667,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L1_ch64:80,label_Hqql,3,14.562452248311274,2,6.402935049155758,19,-29.193026558248647,-8.159517199155516,35.595961607404405,0.0,8.159517199155516,290.44586095609566,source_evidence_loss_candidate
