control,class_id,class_label,n,base_acc,ctrl_acc,acc_drop,flip_rate,delta_base_pred_logit_mean
remove_top4,2,label_Hcc,256,0.58203125,0.0546875,0.52734375,0.76171875,-6.865714073181152
remove_top4,3,label_Hgg,256,0.69140625,0.671875,0.01953125,0.26953125,-2.714676856994629
remove_top4,4,label_H4q,256,0.78125,0.74609375,0.03515625,0.20703125,-3.0580544471740723
remove_top4,5,label_Hqql,256,0.95703125,0.09375,0.86328125,0.91015625,-18.42993927001953
remove_top4,6,label_Zqq,256,0.609375,0.08984375,0.51953125,0.84765625,-7.5544023513793945
remove_top4,7,label_Wqq,256,0.73046875,0.2109375,0.51953125,0.75,-7.735700607299805
remove_top4,8,label_Tbqq,256,0.90625,0.703125,0.203125,0.2734375,-4.905047416687012
remove_top4,9,label_Tbl,256,0.96875,0.01953125,0.94921875,0.98046875,-20.936870574951172
keep_top4,0,label_QCD,256,0.69921875,0.640625,0.05859375,0.45703125,-9.230377197265625
keep_top4,1,label_Hbb,256,0.6484375,0.0078125,0.640625,0.95703125,-18.654340744018555
keep_top4,2,label_Hcc,256,0.58203125,0.0,0.58203125,0.9609375,-16.27338981628418
keep_top4,3,label_Hgg,256,0.69140625,0.0,0.69140625,0.9140625,-17.549163818359375
keep_top4,4,label_H4q,256,0.78125,0.53515625,0.24609375,0.5703125,-14.446083068847656
keep_top4,5,label_Hqql,256,0.95703125,0.89453125,0.0625,0.12890625,-1.6749887466430664
keep_top4,6,label_Zqq,256,0.609375,0.078125,0.53125,0.83203125,-11.57979965209961
keep_top4,7,label_Wqq,256,0.73046875,0.375,0.35546875,0.6171875,-9.53515625
keep_top4,8,label_Tbqq,256,0.90625,0.01171875,0.89453125,0.96875,-21.6895694732666
keep_top4,9,label_Tbl,256,0.96875,0.37890625,0.58984375,0.59765625,-1.7869751453399658
random_remove4,0,label_QCD,256,0.69921875,0.6875,0.01171875,0.12890625,-0.09103727340698242
random_remove4,1,label_Hbb,256,0.6484375,0.5234375,0.125,0.21875,-0.7821090221405029
random_remove4,2,label_Hcc,256,0.58203125,0.48828125,0.09375,0.2578125,-0.7216123938560486
random_remove4,3,label_Hgg,256,0.69140625,0.671875,0.01953125,0.140625,-0.22423923015594482
random_remove4,4,label_H4q,256,0.78125,0.8359375,-0.0546875,0.08984375,-0.07191425561904907
random_remove4,5,label_Hqql,256,0.95703125,0.83203125,0.125,0.171875,-1.9753127098083496
random_remove4,6,label_Zqq,256,0.609375,0.44921875,0.16015625,0.2890625,-0.68392014503479
random_remove4,7,label_Wqq,256,0.73046875,0.73828125,-0.0078125,0.1640625,-0.7550978660583496
