class_pair,true_label,pred_label,count,true_total,confusion_rate,baseline_rate,delta_vs_baseline,mean_pred_confidence,score,status
label_Zqq->label_H4q,label_Zqq,label_H4q,104,4096,0.025390625,0.0185546875,0.0068359375,0.5140439693171245,0.18652633701571836,WATCH
label_Tbl->label_Hqql,label_Tbl,label_Hqql,145,4096,0.035400390625,0.0419921875,-0.006591796875,0.7348873578268906,0.17642162112981172,WATCH
label_QCD->label_Hcc,label_QCD,label_Hcc,134,4096,0.03271484375,0.03515625,-0.00244140625,0.5420030989308855,0.1604752979274291,WATCH
label_H4q->label_Hcc,label_H4q,label_Hcc,131,4096,0.031982421875,0.03515625,-0.003173828125,0.5054598282311709,0.15616383102021839,WATCH
label_Zqq->label_Hcc,label_Zqq,label_Hcc,120,4096,0.029296875,0.0302734375,-0.0009765625,0.5560207574317853,0.14050167614052952,WATCH
label_Hgg->label_QCD,label_Hgg,label_QCD,117,4096,0.028564453125,0.03125,-0.002685546875,0.5373188662223327,0.1362719973297077,WATCH
label_Hbb->label_H4q,label_Hbb,label_H4q,115,4096,0.028076171875,0.029296875,-0.001220703125,0.5746458372344141,0.1334626152288164,WATCH
label_Tbqq->label_H4q,label_Tbqq,label_H4q,107,4096,0.026123046875,0.025390625,0.000732421875,0.5602708294569889,0.12963575227106727,WATCH
label_Hbb->label_Tbqq,label_Hbb,label_Tbqq,89,4096,0.021728515625,0.0185546875,0.003173828125,0.6553652291552404,0.12951246598129726,WATCH
label_Hcc->label_QCD,label_Hcc,label_QCD,83,4096,0.020263671875,0.0166015625,0.003662109375,0.5166811607329242,0.1264057114999988,WATCH
label_Zqq->label_Hbb,label_Zqq,label_Hbb,105,4096,0.025634765625,0.0263671875,-0.000732421875,0.5697006089346749,0.11954616818402515,WATCH
label_QCD->label_H4q,label_QCD,label_H4q,100,4096,0.0244140625,0.0283203125,-0.00390625,0.5412534594535827,0.11267384074319482,WATCH
label_Zqq->label_Tbqq,label_Zqq,label_Tbqq,87,4096,0.021240234375,0.01953125,0.001708984375,0.6038827711138232,0.112189527065333,WATCH
label_H4q->label_Tbqq,label_H4q,label_Tbqq,98,4096,0.02392578125,0.0263671875,-0.00244140625,0.5581679958470014,0.10994183235185298,WATCH
label_Hgg->label_Zqq,label_Hgg,label_Zqq,96,4096,0.0234375,0.0244140625,-0.0009765625,0.48973551966870826,0.10721978855867303,WATCH
label_Hcc->label_Tbqq,label_Hcc,label_Tbqq,90,4096,0.02197265625,0.0322265625,-0.01025390625,0.6224435451957915,0.09911556532873937,WATCH
label_Zqq->label_Hgg,label_Zqq,label_Hgg,74,4096,0.01806640625,0.009765625,0.00830078125,0.4404122531414032,0.1610093067386931,OK
label_H4q->label_Zqq,label_H4q,label_Zqq,76,4096,0.0185546875,0.0146484375,0.00390625,0.4825776129176742,0.11966045216330078,OK
label_Hgg->label_Tbqq,label_Hgg,label_Tbqq,81,4096,0.019775390625,0.0166015625,0.003173828125,0.5412171530870744,0.11888287573935657,OK
label_Tbqq->label_QCD,label_Tbqq,label_QCD,70,4096,0.01708984375,0.0126953125,0.00439453125,0.5164517100368228,0.1167938455549053,OK
label_Hbb->label_QCD,label_Hbb,label_QCD,70,4096,0.01708984375,0.0146484375,0.00244140625,0.5421529476131711,0.0972625955549053,OK
label_Wqq->label_H4q,label_Wqq,label_H4q,79,4096,0.019287109375,0.0205078125,-0.001220703125,0.5380615235506734,0.08451662698711832,OK
label_QCD->label_Hbb,label_QCD,label_Hbb,69,4096,0.016845703125,0.015625,0.001220703125,0.5620678527199704,0.08377592082553853,OK
label_H4q->label_Hbb,label_H4q,label_Hbb,55,4096,0.013427734375,0.0107421875,0.002685546875,0.4793032307516445,0.08090682201914874,OK
label_Wqq->label_Tbqq,label_Wqq,label_Tbqq,75,4096,0.018310546875,0.0185546875,-0.000244140625,0.6447449354330699,0.07929809583043819,OK
label_Tbqq->label_Hgg,label_Tbqq,label_Hgg,38,4096,0.00927734375,0.0048828125,0.00439453125,0.4639929493791179,0.07793343324046059,OK
label_Tbqq->label_Hbb,label_Tbqq,label_Hbb,64,4096,0.015625,0.0166015625,-0.0009765625,0.5504800300113857,0.06522480109211932,OK
label_Tbqq->label_Hcc,label_Tbqq,label_Hcc,50,4096,0.01220703125,0.0107421875,0.00146484375,0.5013120901584626,0.06264435586821687,OK
label_H4q->label_Wqq,label_H4q,label_Wqq,52,4096,0.0126953125,0.013671875,-0.0009765625,0.5064273659999554,0.050404096558767174,OK
label_Wqq->label_Hgg,label_Wqq,label_Hgg,25,4096,0.006103515625,0.00390625,0.002197265625,0.456020929813385,0.04185849937757252,OK
label_Hcc->label_Wqq,label_Hcc,label_Wqq,43,4096,0.010498046875,0.01171875,-0.001220703125,0.5388304826825164,0.039726600160762994,OK
label_H4q->label_QCD,label_H4q,label_QCD,42,4096,0.01025390625,0.0185546875,-0.00830078125,0.43146259515058427,0.03856699337381094,OK
label_Zqq->label_Hqql,label_Zqq,label_Hqql,10,4096,0.00244140625,0.0,0.00244140625,0.5740199983119965,0.030268299005855398,OK
label_Wqq->label_Hbb,label_Wqq,label_Hbb,18,4096,0.00439453125,0.0029296875,0.00146484375,0.41427336467636955,0.02758786660766502,OK
label_Wqq->label_Hcc,label_Wqq,label_Hcc,32,4096,0.0078125,0.0078125,0.0,0.5062577011995018,0.027316465323956877,OK
label_Hgg->label_Wqq,label_Hgg,label_Wqq,30,4096,0.00732421875,0.009765625,-0.00244140625,0.5115950733423233,0.02515127347035019,OK
label_Hqql->label_Zqq,label_Hqql,label_Zqq,20,4096,0.0048828125,0.00390625,0.0009765625,0.5369731694459915,0.0246314572154464,OK
label_Wqq->label_Hqql,label_Wqq,label_Hqql,14,4096,0.00341796875,0.001953125,0.00146484375,0.5771226010152272,0.02390446846079857,OK
label_Tbqq->label_Wqq,label_Tbqq,label_Wqq,10,4096,0.00244140625,0.0009765625,0.00146484375,0.4896876811981201,0.020502674005855398,OK
label_Tbl->label_QCD,label_Tbl,label_QCD,6,4096,0.00146484375,0.0,0.00146484375,0.620208074649175,0.017498891819905243,OK
label_Tbqq->label_Hqql,label_Tbqq,label_Hqql,5,4096,0.001220703125,0.0,0.001220703125,0.7183438777923584,0.014394237633335027,OK
label_Hbb->label_Wqq,label_Hbb,label_Wqq,14,4096,0.00341796875,0.0029296875,0.00048828125,0.5789920943123954,0.01413884346079857,OK
label_Hqql->label_Tbqq,label_Hqql,label_Tbqq,8,4096,0.001953125,0.0009765625,0.0009765625,0.7364278919994831,0.014057079252609805,OK
label_Hqql->label_Wqq,label_Hqql,label_Wqq,18,4096,0.00439453125,0.005859375,-0.00146484375,0.6264251603020562,0.012939429107665022,OK
label_Zqq->label_Tbl,label_Zqq,label_Tbl,4,4096,0.0009765625,0.0,0.0009765625,0.48658429831266403,0.011337341711361425,OK
label_Tbl->label_Tbqq,label_Tbl,label_Tbqq,4,4096,0.0009765625,0.0,0.0009765625,0.5500769019126892,0.011337341711361425,OK
label_Tbqq->label_Zqq,label_Tbqq,label_Zqq,7,4096,0.001708984375,0.0009765625,0.000732421875,0.4040204882621765,0.01087795185345675,OK
label_Hqql->label_QCD,label_Hqql,label_QCD,3,4096,0.000732421875,0.0,0.000732421875,0.5369443496068319,0.008339571065273357,OK
label_Hqql->label_Hbb,label_Hqql,label_Hbb,12,4096,0.0029296875,0.0068359375,-0.00390625,0.5822455162803332,0.007514500070688096,OK
label_Tbl->label_Hgg,label_Tbl,label_Hgg,2,4096,0.00048828125,0.0,0.00048828125,0.31403665244579315,0.005419244281576225,OK
label_Tbl->label_Zqq,label_Tbl,label_Zqq,2,4096,0.00048828125,0.0,0.00048828125,0.5327423512935638,0.005419244281576225,OK
label_Tbl->label_Wqq,label_Tbl,label_Wqq,2,4096,0.00048828125,0.0,0.00048828125,0.5949384868144989,0.005419244281576225,OK
label_QCD->label_Hqql,label_QCD,label_Hqql,9,4096,0.002197265625,0.0048828125,-0.002685546875,0.6410458419058058,0.005059391073473246,OK
label_QCD->label_Tbl,label_QCD,label_Tbl,5,4096,0.001220703125,0.0009765625,0.000244140625,0.6082394838333129,0.0046286126333350275,OK
label_Hcc->label_Hqql,label_Hcc,label_Hqql,5,4096,0.001220703125,0.0009765625,0.000244140625,0.660771769285202,0.0046286126333350275,OK
label_Hbb->label_Hqql,label_Hbb,label_Hqql,8,4096,0.001953125,0.0029296875,-0.0009765625,0.7490755133330822,0.004291454252609804,OK
label_H4q->label_Hqql,label_H4q,label_Hqql,8,4096,0.001953125,0.001953125,0.0,0.6836452633142471,0.004291454252609804,OK
label_Hqql->label_H4q,label_Hqql,label_H4q,6,4096,0.00146484375,0.001953125,-0.00048828125,0.5913911859194437,0.002850454319905244,OK
label_Hgg->label_Tbl,label_Hgg,label_Tbl,1,4096,0.000244140625,0.0,0.000244140625,0.4154599606990814,0.002610631635878893,OK
label_H4q->label_Tbl,label_H4q,label_Tbl,1,4096,0.000244140625,0.0,0.000244140625,0.22549480199813843,0.002610631635878893,OK
label_Hqql->label_Hgg,label_Hqql,label_Hgg,1,4096,0.000244140625,0.0,0.000244140625,0.7295459508895874,0.002610631635878893,OK
label_Wqq->label_Tbl,label_Wqq,label_Tbl,1,4096,0.000244140625,0.0,0.000244140625,0.3086201548576355,0.002610631635878893,OK
label_Tbl->label_Hbb,label_Tbl,label_Hbb,5,4096,0.001220703125,0.001953125,-0.000732421875,0.5766774892807007,0.002187206383335028,OK
label_Hbb->label_Tbl,label_Hbb,label_Tbl,4,4096,0.0009765625,0.001953125,-0.0009765625,0.624817356467247,0.001571716711361426,OK
label_Hqql->label_Hcc,label_Hqql,label_Hcc,4,4096,0.0009765625,0.0009765625,0.0,0.5099972411990166,0.001571716711361426,OK
label_Tbqq->label_Tbl,label_Tbqq,label_Tbl,4,4096,0.0009765625,0.0009765625,0.0,0.6605605334043503,0.001571716711361426,OK
label_Hcc->label_Tbl,label_Hcc,label_Tbl,2,4096,0.00048828125,0.0009765625,-0.00048828125,0.304839164018631,0.0005364317815762254,OK
label_Hgg->label_Hqql,label_Hgg,label_Hqql,1,4096,0.000244140625,0.0009765625,-0.000732421875,0.8720865845680237,0.0001692253858788929,OK
label_Tbl->label_Hcc,label_Tbl,label_Hcc,1,4096,0.000244140625,0.0009765625,-0.000732421875,0.4757099151611328,0.0001692253858788929,OK
label_Tbl->label_H4q,label_Tbl,label_H4q,0,4096,0.0,0.0,0.0,0.0,0.0,OK
