head_id,pair_role,objective,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,B_value_norm,B_context_grad_norm,B_minus_A_write,B_minus_C_write,write_support_score,B_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,attention_support_score,module,head,head_grad_signed,head_grad_signed_abs,head_grad_pred_logit,head_grad_pred_logit_abs,compiled_rule_count,exact_pair_rule_count,compiled_routes,bundle_evidence_count,bundle_best_B_delta_margin,bundle_best_B_delta_tbl_pred,evidence_score,diagnosis,mechanism_summary
mod.cls_blocks.0.attn.h5,charged_hadron<-charged_hadron,B_tbl_minus_hqql,0.0551216687474932,0.0031654125168209986,0.007172434635105587,1.9447978791736422,0.0022686772225868133,0.0031654125168209986,0.0031654125168209986,0.006541227434007895,0.0031654125168209986,0.0031654125168209986,0.0031654125168209986,0.004748118775231498,mod.cls_blocks.0.attn,5,0.07654515659669414,0.07654515659669414,0.0978110448922962,0.0978110448922962,0,0,,0,,,0.029474136301100122,weak_or_distributed,"mod.cls_blocks.0.attn.h5 uses charged_hadron<-charged_hadron; natural A×grad=0.0032, value/write=0.0032 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,CLS<-photon,B_tbl_minus_hqql,0.03433221411258779,0.003592971981288915,0.0065673254654409095,2.0357431217948383,0.0023837700277009113,0.003592971981288915,0.003592971981288915,0.0070312893382936,0.0035929719713282456,0.0035929719713282456,0.0035929719713282456,0.0053894579569923684,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.029443939963485148,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses CLS<-photon; natural A×grad=0.0036, value/write=0.0036 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,neutral_hadron<-neutral_hadron,B_tbl_minus_hqql,0.024548629919687908,0.0034817435468236604,0.00640050678824385,9.983454068501791,0.010548144578933716,0.0034817435468236604,0.0034817435468236604,0.006822742017296453,0.0034817435468236604,0.0034817435468236604,0.0034817435468236604,0.005222615320235491,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.029165892861783504,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses neutral_hadron<-neutral_hadron; natural A×grad=0.0035, value/write=0.0035 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,electron<-charged_hadron,B_tbl_minus_hqql,0.02708697048100558,0.004286657993925766,0.005546291224299905,1.5498255765374331,0.0017482806694380103,0.004286657993925766,0.004286657993925766,0.007816559796963624,0.004286658013847104,0.004286658013847104,0.004286658013847104,0.006429987020770656,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.029116591764863003,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses electron<-charged_hadron; natural A×grad=0.0043, value/write=0.0043 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h5,muon<-photon,B_tbl_minus_hqql,0.03523602468747619,0.003666915749166663,0.006201703088186312,1.5250448605692979,0.0020493263946780075,0.003666915749166663,0.003666915749166663,0.0070507993957965726,0.003666915749166663,0.003666915749166663,0.003666915749166663,0.005500373623749995,mod.cls_blocks.0.attn,5,0.07654515659669414,0.07654515659669414,0.0978110448922962,0.0978110448922962,0,0,,0,,,0.02900490798652651,weak_or_distributed,"mod.cls_blocks.0.attn.h5 uses muon<-photon; natural A×grad=0.0037, value/write=0.0037 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h5,photon<-electron,B_tbl_minus_hqql,0.04847259912639856,-0.004866717732511461,0.004866717732511461,15.297750473022461,0.02406110055744648,-0.004866717732511461,-0.004866717732511461,0.008516756031895056,-0.004866717732511461,-0.004866717732511461,-0.004866717732511461,0.007300076598767191,mod.cls_blocks.0.attn,5,0.07654515659669414,0.07654515659669414,0.0978110448922962,0.0978110448922962,0,0,,0,,,0.028869724614196457,weak_or_distributed,"mod.cls_blocks.0.attn.h5 uses photon<-electron; natural A×grad=-0.0049, value/write=-0.0049 so it resists Tbl / protective. Routes: "
mod.cls_blocks.0.attn.h2,CLS<-charged_hadron,B_tbl_minus_hqql,0.030627568239389464,0.0035468013507725543,0.006010034394472144,1.791127746049748,0.0020733255589770717,0.0035468013507725543,0.0035468013507725543,0.0068227106247768675,0.00354680135943602,0.00354680135943602,0.00354680135943602,0.00532020203915403,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.02884047828062416,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses CLS<-charged_hadron; natural A×grad=0.0035, value/write=0.0035 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,muon<-charged_hadron,B_tbl_minus_hqql,0.02994630331138395,0.0035768324192964806,0.0058019204803232876,1.7474052261256572,0.0021287381133568363,0.0035768324192964806,0.0035768324192964806,0.006815728749025542,0.0035768324192964806,0.0035768324192964806,0.0035768324192964806,0.0053652486289447205,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.028662395426335762,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses muon<-charged_hadron; natural A×grad=0.0036, value/write=0.0036 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,electron<-muon,B_tbl_minus_hqql,0.03400493320077658,0.004603073466569185,0.004603073466569185,21.86343479156494,0.03645577281713486,0.004603073466569185,0.004603073466569185,0.008055378566496074,0.004603073466569185,0.004603073466569185,0.004603073466569185,0.006904610199853778,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.028489789459854364,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses electron<-muon; natural A×grad=0.0046, value/write=0.0046 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.1.attn.h5,photon<-electron,B_tbl_minus_hqql,0.16740339249372482,0.009769322001375258,0.009769322001375258,1.8525684475898743,0.06072404235601425,0.009769322001375258,0.009769322001375258,0.0170963135024067,0.009769322001375258,0.009769322001375258,0.009769322001375258,0.014653983002062887,mod.cls_blocks.1.attn,5,0.03576848920783959,0.03576848920783959,-0.11596447508782148,0.11596447508782148,0,0,,0,,,0.028480766304710414,weak_or_distributed,"mod.cls_blocks.1.attn.h5 uses photon<-electron; natural A×grad=0.0098, value/write=0.0098 so it pushes B toward Tbl. Routes: "
