event_idx,group,particle_role,pid,particle_idx,head_id,layer,class_label,particle_to_head_weight,head_to_class_weight,flow_weight
20481,C_Tbl_correct,photon_neighbor,photon,25,L0_ch0:8,L0,label_Tbl,18.29190444946289,3.8991646766662598,71.32314769830009
20481,C_Tbl_correct,photon_neighbor,photon,24,L0_ch0:8,L0,label_Hqql,18.003480911254883,2.0634994506835938,37.15017297076702
20481,C_Tbl_correct,photon_neighbor,photon,24,L0_ch0:8,L0,label_Tbl,18.003480911254883,3.8991646766662598,70.19853682620032
20481,C_Tbl_correct,photon_neighbor,photon,20,L0_ch0:8,L0,label_Hqql,16.738801956176758,2.0634994506835938,34.540508641672204
20481,C_Tbl_correct,photon_neighbor,photon,20,L0_ch0:8,L0,label_Tbl,16.738801956176758,3.8991646766662598,65.2673453172365
20482,C_Tbl_correct,photon_neighbor,photon,15,L0_ch0:8,L0,label_Hqql,18.022249221801758,-1.5180933475494385,-27.359456651495293
20482,C_Tbl_correct,photon_neighbor,photon,15,L0_ch0:8,L0,label_Tbl,18.022249221801758,-0.23157894611358643,-4.173573481381254
20482,C_Tbl_correct,photon_neighbor,photon,17,L0_ch0:8,L0,label_Hqql,15.813745498657227,-1.5180933475494385,-24.006741841351413
20482,C_Tbl_correct,photon_neighbor,photon,17,L0_ch0:8,L0,label_Tbl,15.813745498657227,-0.23157894611358643,-3.6621305166875118
20482,C_Tbl_correct,hadron_neighbor,charged_hadron,16,L0_ch0:8,L0,label_Hqql,14.30144214630127,-1.5180933475494385,-21.71092418266312
20482,C_Tbl_correct,hadron_neighbor,charged_hadron,16,L0_ch0:8,L0,label_Tbl,14.30144214630127,-0.23157894611358643,-3.3119129001448755
20483,C_Tbl_correct,photon_neighbor,photon,29,L0_ch0:8,L0,label_Hqql,20.38780975341797,-2.8305459022521973,-57.70863135343461
20483,C_Tbl_correct,photon_neighbor,photon,29,L0_ch0:8,L0,label_Tbl,20.38780975341797,1.2503154277801514,25.49119307334513
20483,C_Tbl_correct,photon_neighbor,photon,23,L0_ch0:8,L0,label_Hqql,18.53858757019043,-2.8305459022521973,-52.47432308034604
20483,C_Tbl_correct,photon_neighbor,photon,23,L0_ch0:8,L0,label_Tbl,18.53858757019043,1.2503154277801514,23.179082048262444
