control,transition_type,from_id,from_label,to_id,to_label,n,from_total,rate
remove_particle0,true_class_to_control_pred,7,label_Wqq,0,label_QCD,14,256,0.0546875
remove_particle0,true_class_to_control_pred,0,label_QCD,7,label_Wqq,13,256,0.05078125
remove_particle0,true_class_to_control_pred,5,label_Hqql,8,label_Tbqq,13,256,0.05078125
remove_particle0,true_class_to_control_pred,9,label_Tbl,3,label_Hgg,13,256,0.05078125
remove_particle0,true_class_to_control_pred,0,label_QCD,6,label_Zqq,12,256,0.046875
remove_particle0,true_class_to_control_pred,1,label_Hbb,6,label_Zqq,12,256,0.046875
remove_particle0,true_class_to_control_pred,5,label_Hqql,2,label_Hcc,12,256,0.046875
remove_particle0,true_class_to_control_pred,6,label_Zqq,1,label_Hbb,12,256,0.046875
remove_particle0,true_class_to_control_pred,9,label_Tbl,6,label_Zqq,12,256,0.046875
remove_particle0,true_class_to_control_pred,1,label_Hbb,8,label_Tbqq,10,256,0.0390625
remove_particle0,true_class_to_control_pred,6,label_Zqq,0,label_QCD,10,256,0.0390625
remove_particle0,true_class_to_control_pred,6,label_Zqq,2,label_Hcc,10,256,0.0390625
remove_particle0,true_class_to_control_pred,9,label_Tbl,2,label_Hcc,10,256,0.0390625
remove_particle0,true_class_to_control_pred,3,label_Hgg,0,label_QCD,9,256,0.03515625
remove_particle0,true_class_to_control_pred,4,label_H4q,0,label_QCD,9,256,0.03515625
remove_particle0,true_class_to_control_pred,3,label_Hgg,2,label_Hcc,8,256,0.03125
remove_particle0,true_class_to_control_pred,6,label_Zqq,8,label_Tbqq,8,256,0.03125
remove_particle0,true_class_to_control_pred,9,label_Tbl,5,label_Hqql,8,256,0.03125
remove_particle0,true_class_to_control_pred,8,label_Tbqq,1,label_Hbb,7,256,0.02734375
remove_particle0,true_class_to_control_pred,4,label_H4q,8,label_Tbqq,6,256,0.0234375
remove_particle0,true_class_to_control_pred,9,label_Tbl,4,label_H4q,6,256,0.0234375
remove_particle0,true_class_to_control_pred,1,label_Hbb,7,label_Wqq,5,256,0.01953125
remove_particle0,true_class_to_control_pred,6,label_Zqq,3,label_Hgg,5,256,0.01953125
remove_particle0,true_class_to_control_pred,2,label_Hcc,0,label_QCD,4,256,0.015625
remove_particle0,true_class_to_control_pred,4,label_H4q,1,label_Hbb,4,256,0.015625
remove_particle0,true_class_to_control_pred,4,label_H4q,2,label_Hcc,4,256,0.015625
remove_particle0,true_class_to_control_pred,5,label_Hqql,3,label_Hgg,4,256,0.015625
remove_particle0,true_class_to_control_pred,0,label_QCD,2,label_Hcc,3,256,0.01171875
remove_particle0,true_class_to_control_pred,1,label_Hbb,0,label_QCD,3,256,0.01171875
remove_particle0,true_class_to_control_pred,3,label_Hgg,8,label_Tbqq,3,256,0.01171875
remove_particle0,true_class_to_control_pred,8,label_Tbqq,0,label_QCD,3,256,0.01171875
remove_particle0,true_class_to_control_pred,8,label_Tbqq,3,label_Hgg,3,256,0.01171875
remove_particle0,true_class_to_control_pred,0,label_QCD,1,label_Hbb,2,256,0.0078125
remove_particle0,true_class_to_control_pred,1,label_Hbb,5,label_Hqql,2,256,0.0078125
remove_particle0,true_class_to_control_pred,2,label_Hcc,5,label_Hqql,2,256,0.0078125
remove_particle0,true_class_to_control_pred,2,label_Hcc,7,label_Wqq,2,256,0.0078125
remove_particle0,true_class_to_control_pred,3,label_Hgg,7,label_Wqq,2,256,0.0078125
remove_particle0,true_class_to_control_pred,5,label_Hqql,1,label_Hbb,2,256,0.0078125
remove_particle0,true_class_to_control_pred,7,label_Wqq,3,label_Hgg,2,256,0.0078125
remove_particle0,true_class_to_control_pred,7,label_Wqq,8,label_Tbqq,2,256,0.0078125
remove_particle0,true_class_to_control_pred,8,label_Tbqq,2,label_Hcc,2,256,0.0078125
remove_particle0,true_class_to_control_pred,0,label_QCD,5,label_Hqql,1,256,0.00390625
remove_particle0,true_class_to_control_pred,3,label_Hgg,6,label_Zqq,1,256,0.00390625
remove_particle0,true_class_to_control_pred,4,label_H4q,6,label_Zqq,1,256,0.00390625
remove_particle0,true_class_to_control_pred,4,label_H4q,7,label_Wqq,1,256,0.00390625
remove_particle0,true_class_to_control_pred,6,label_Zqq,5,label_Hqql,1,256,0.00390625
remove_particle0,true_class_to_control_pred,7,label_Wqq,2,label_Hcc,1,256,0.00390625
remove_particle0,true_class_to_control_pred,9,label_Tbl,7,label_Wqq,1,256,0.00390625
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,9,label_Tbl,221,253,0.8735177865612648
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,9,label_Tbl,197,255,0.7725490196078432
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,0,label_QCD,118,241,0.4896265560165975
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,7,label_Wqq,129,274,0.4708029197080292
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,7,label_Wqq,112,280,0.4
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,7,label_Wqq,100,270,0.37037037037037035
