module_name,param_name,shape,numel,requires_grad
mod.blocks.7.attn.out_proj,bias,128,128,True
mod.blocks.7.post_attn_norm,weight,128,128,True
mod.blocks.7.post_attn_norm,bias,128,128,True
mod.blocks.7.pre_fc_norm,weight,128,128,True
mod.blocks.7.pre_fc_norm,bias,128,128,True
mod.blocks.7.fc1,weight,512x128,65536,True
mod.blocks.7.fc1,bias,512,512,True
mod.blocks.7.post_fc_norm,weight,512,512,True
mod.blocks.7.post_fc_norm,bias,512,512,True
mod.blocks.7.fc2,weight,128x512,65536,True
mod.blocks.7.fc2,bias,128,128,True
mod.cls_blocks.0,c_attn,8,8,True
mod.cls_blocks.0,w_resid,128,128,True
mod.cls_blocks.0.pre_attn_norm,weight,128,128,True
mod.cls_blocks.0.pre_attn_norm,bias,128,128,True
mod.cls_blocks.0.attn,in_proj_weight,384x128,49152,True
mod.cls_blocks.0.attn,in_proj_bias,384,384,True
mod.cls_blocks.0.attn.out_proj,weight,128x128,16384,True
mod.cls_blocks.0.attn.out_proj,bias,128,128,True
mod.cls_blocks.0.post_attn_norm,weight,128,128,True
mod.cls_blocks.0.post_attn_norm,bias,128,128,True
mod.cls_blocks.0.pre_fc_norm,weight,128,128,True
mod.cls_blocks.0.pre_fc_norm,bias,128,128,True
mod.cls_blocks.0.fc1,weight,512x128,65536,True
mod.cls_blocks.0.fc1,bias,512,512,True
mod.cls_blocks.0.post_fc_norm,weight,512,512,True
mod.cls_blocks.0.post_fc_norm,bias,512,512,True
mod.cls_blocks.0.fc2,weight,128x512,65536,True
mod.cls_blocks.0.fc2,bias,128,128,True
mod.cls_blocks.1,c_attn,8,8,True
mod.cls_blocks.1,w_resid,128,128,True
mod.cls_blocks.1.pre_attn_norm,weight,128,128,True
mod.cls_blocks.1.pre_attn_norm,bias,128,128,True
mod.cls_blocks.1.attn,in_proj_weight,384x128,49152,True
mod.cls_blocks.1.attn,in_proj_bias,384,384,True
mod.cls_blocks.1.attn.out_proj,weight,128x128,16384,True
mod.cls_blocks.1.attn.out_proj,bias,128,128,True
mod.cls_blocks.1.post_attn_norm,weight,128,128,True
mod.cls_blocks.1.post_attn_norm,bias,128,128,True
mod.cls_blocks.1.pre_fc_norm,weight,128,128,True
mod.cls_blocks.1.pre_fc_norm,bias,128,128,True
mod.cls_blocks.1.fc1,weight,512x128,65536,True
mod.cls_blocks.1.fc1,bias,512,512,True
mod.cls_blocks.1.post_fc_norm,weight,512,512,True
mod.cls_blocks.1.post_fc_norm,bias,512,512,True
mod.cls_blocks.1.fc2,weight,128x512,65536,True
mod.cls_blocks.1.fc2,bias,128,128,True
mod.norm,weight,128,128,True
mod.norm,bias,128,128,True
mod.fc.0,weight,10x128,1280,True
mod.fc.0,bias,10,10,True
