source,target,kind,weight,formula,dim,objective,group,mean_abs,B_flip,action,rules,score,tensor
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.02420755903585814,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.17822824441827834,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.02420755522325635,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.178228247910738,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.028968096143216826,,,signed_hqql_tbl,A_Hqql_correct,0.1359026685822755,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.016057918895967305,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.17428024881519377,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.016057913802796975,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.17428025626577437,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.024872809532098472,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.1382937680464238,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,-0.024872806534403935,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.13829375966452062,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,-0.014333213242935017,,,signed_hqql_tbl,A_Hqql_correct,0.16904317471198738,,,,,
residual_particle:mod.blocks.2,classifier:mod.fc,residual_to_classifier,-0.00875634473777609,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.16981404973194003,,,,,
residual_particle:mod.blocks.4,classifier:mod.fc,residual_to_classifier,0.019010155694559216,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.12511931802146137,,,,,
residual_particle:mod.blocks.3,classifier:mod.fc,residual_to_classifier,0.00416853059141431,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.14785620919428766,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.016824361868202686,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.09636534098535776,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.006230642582522705,,,signed_hqql_tbl,C_Tbl_correct,0.1305148438550532,,,,,
residual_cls:mod.cls_blocks.1,classifier:mod.fc,residual_to_classifier,-0.02754825357988011,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.03817750954476651,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.009320715180365369,,,signed_hqql_tbl,A_Hqql_correct,0.11044050543569028,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.005477254118886776,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.10609827586449683,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.005477252372656949,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.10609827609732747,,,,,
residual_particle:mod.blocks.5,classifier:mod.fc,residual_to_classifier,-0.0074617632271838374,,,signed_hqql_tbl,D_Tbl_to_Hqql,0.09780975535977632,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.0019129856591462158,,,signed_hqql_tbl,B_Hqql_to_Tbl,0.10706054489128292,,,,,
residual_particle:mod.blocks.6,classifier:mod.fc,residual_to_classifier,0.0019129856082145125,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,0.10706054442562163,,,,,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-electron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-1.1924841105937958,,,,,,-0.375,up,0,1.218005497008562,
attention_pair:mod.cls_blocks.0.attn.h4|CLS<-electron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-1.0486455410718918,,,,,,-0.40625,up,0,1.0915601532906294,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-1.1248640418052673,,,,,,-0.34375,up,0,0.8287932984530926,
attention_pair:mod.cls_blocks.0.attn.h4|muon<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,1.0003407299518585,,,,,,0.0,down,0,0.5952868200838566,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-electron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.958852082490921,,,,,,0.0,down,0,0.42377858236432076,
attention_pair:mod.cls_blocks.0.attn.h4|CLS<-electron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.9460620433092117,,,,,,0.0,down,0,0.4224005416035652,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-charged_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.38228610157966614,,,,,,0.0,up,0,0.3638511039316654,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.230096235871315,,,,,,0.0,up,0,0.21400681510567665,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-charged_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.11088882386684418,,,,,,-0.0625,down,0,0.19480491057038307,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.1420820951461792,,,,,,0.0,up,0,0.07235975563526154,
attention_pair:mod.cls_blocks.0.attn.h4|photon<-neutral_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.036612361669540405,,,,,,0.0,down,0,0.03402533009648323,
attention_pair:mod.blocks.7.attn.h3|charged_hadron<-electron,residual_block:mod.blocks.7,validated_pair_to_residual,-0.0682220309972763,,,,,,0.0,up,2,0.029108494520187378,
attention_pair:mod.cls_blocks.0.attn.h7|charged_hadron<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.025700613856315613,,,,,,0.0,up,0,0.014533333480358124,
attention_pair:mod.blocks.7.attn.h3|charged_hadron<-electron,residual_block:mod.blocks.7,validated_pair_to_residual,0.04019136726856232,,,,,,0.0,down,2,0.0130610391497612,
attention_pair:mod.cls_blocks.0.attn.h1|charged_hadron<-photon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.055408015847206116,,,,,,0.0,up,0,0.01239272952079773,
attention_pair:mod.cls_blocks.0.attn.h6|charged_hadron<-charged_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.03905683755874634,,,,,,0.0,up,0,0.010386694222688675,
attention_pair:mod.cls_blocks.0.attn.h1|charged_hadron<-photon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.012552529573440552,,,,,,0.0,down,0,0.007969263941049576,
attention_pair:mod.cls_blocks.0.attn.h6|charged_hadron<-charged_hadron,residual_block:mod.cls_blocks.0,validated_pair_to_residual,0.05643361806869507,,,,,,0.0,down,0,0.006434395909309387,
attention_pair:mod.blocks.7.attn.h3|muon<-electron,residual_block:mod.blocks.7,validated_pair_to_residual,0.0035737454891204834,,,,,,0.0,down,2,0.003440462052822113,
attention_pair:mod.cls_blocks.0.attn.h7|charged_hadron<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.0027376562356948853,,,,,,0.0,down,0,0.0021478235721588135,
attention_pair:mod.blocks.7.attn.h3|electron<-muon,residual_block:mod.blocks.7,validated_pair_to_residual,0.0006216466426849365,,,,,,0.0,down,2,0.0004860199987888336,
attention_pair:mod.blocks.7.attn.h3|muon<-electron,residual_block:mod.blocks.7,validated_pair_to_residual,-0.001699194312095642,,,,,,0.0,up,2,-0.0003520771861076355,
attention_pair:mod.blocks.7.attn.h3|electron<-muon,residual_block:mod.blocks.7,validated_pair_to_residual,-0.0032722800970077515,,,,,,0.0,up,2,-0.0005942322313785553,
attention_pair:mod.cls_blocks.0.attn.h4|electron<-muon,residual_block:mod.cls_blocks.0,validated_pair_to_residual,-0.005870521068572998,,,,,,0.0,down,0,-0.013639271259307861,
residual_role:mod.cls_blocks.0|neutral_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.4183280368645986,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|muon|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.40718246743615183,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|electron|A_Hqql_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.3744135476075686,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|photon|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.368707999587059,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|CLS|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.3405590102192946,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|muon|A_Hqql_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.3126174377070533,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|CLS|A_Hqql_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.30889942799694836,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|A_Hqql_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.2936618596315384,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|photon|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.290972501039505,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|electron|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.2876299098134041,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|neutral_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.2862293819586436,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|muon|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.262382267841271,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|CLS|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.23425632528960705,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|electron|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.22481740781894097,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|electron|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.19740914106369017,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|CLS|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.1904550353065133,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.18516179621219636,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|muon|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.1830500132507748,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|neutral_hadron|A_Hqql_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.1823930572718382,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.16645994409918785,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.16645987331867218,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.1419818066060543,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.14198178052902222,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.13604203363259634,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.1|neutral_hadron|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.12873317301273346,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|C_Tbl_correct,residual_block:mod.cls_blocks.0,role_to_residual,0.10954485833644867,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|charged_hadron|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.0,role_to_residual,0.10708227008581161,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.cls_blocks.1|photon|A_Hqql_correct,residual_block:mod.cls_blocks.1,role_to_residual,-0.08374303579330444,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|muon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.0754002093647917,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|muon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.07540020905435085,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|muon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.0689278660962979,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|muon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.06892786206056674,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|electron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.0695286833991607,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|electron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.06952866539359093,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|electron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.07218835549429059,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|electron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.07218835060484707,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|muon|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.0,role_to_residual,0.0696273838931864,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.cls_blocks.1|CLS|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.07113151502562687,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|CLS|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.0711315140069928,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|electron|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.0,role_to_residual,0.06916481229875769,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.cls_blocks.0|CLS|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.06705127679742873,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|CLS|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.06705126829911023,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|CLS|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.0,role_to_residual,0.06747956178151071,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.blocks.0|muon|A_Hqql_correct,residual_block:mod.blocks.0,role_to_residual,-0.05740495127004882,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.0|neutral_hadron|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.0,role_to_residual,0.05579296126961708,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.blocks.0|electron|A_Hqql_correct,residual_block:mod.blocks.0,role_to_residual,-0.053810115970138996,,,signed_hqql_tbl,A_Hqql_correct,,,,,,
residual_role:mod.cls_blocks.1|charged_hadron|D_Tbl_to_Hqql,residual_block:mod.cls_blocks.1,role_to_residual,-0.04626978933811188,,,signed_hqql_tbl,D_Tbl_to_Hqql,,,,,,
residual_role:mod.cls_blocks.1|neutral_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.04329208843410015,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.1|neutral_hadron|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.1,role_to_residual,-0.043292054906487465,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
residual_role:mod.blocks.0|electron|C_Tbl_correct,residual_block:mod.blocks.0,role_to_residual,-0.03721827161772286,,,signed_hqql_tbl,C_Tbl_correct,,,,,,
residual_role:mod.cls_blocks.0|photon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.03587599657475948,,,signed_hqql_tbl,B_Hqql_to_Tbl,,,,,,
residual_role:mod.cls_blocks.0|photon|B_Hqql_to_Tbl,residual_block:mod.cls_blocks.0,role_to_residual,0.03587596118450165,,,B_tbl_minus_hqql,B_Hqql_to_Tbl,,,,,,
