feature,bin_index,lo,hi,n,target_confusions,confusion_rate,class_pair
leading_is_charged_hadron,2,0.0,1.0,499,71,0.14228456913827656,label_Wqq->label_Zqq
leading_is_charged_hadron,3,1.0,1.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_charged_hadron,4,1.0,1.000000001,525,79,0.15047619047619049,label_Wqq->label_Zqq
leading_is_neutral_hadron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_neutral_hadron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_neutral_hadron,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_neutral_hadron,3,0.0,1.0,790,116,0.1468354430379747,label_Wqq->label_Zqq
leading_is_neutral_hadron,4,1.0,1.000000001,234,34,0.1452991452991453,label_Wqq->label_Zqq
leading_is_photon,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_photon,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_photon,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_photon,3,0.0,1.0,767,114,0.14863102998696218,label_Wqq->label_Zqq
leading_is_photon,4,1.0,1.000000001,257,36,0.14007782101167315,label_Wqq->label_Zqq
leading_is_electron,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_electron,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_electron,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_electron,3,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_electron,4,0.0,1.000000001,1024,150,0.146484375,label_Wqq->label_Zqq
leading_is_muon,0,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_muon,1,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
leading_is_muon,2,0.0,0.0,0,0,0.0,label_Wqq->label_Zqq
