feature,protected_mean,confused_mean,diff_protected_minus_confused,ratio_protected_over_confused,std_effect,direction
p0_knn_lepton_frac,0.10677083333333333,0.07121212121212121,0.035558712121212116,1.499335099371039,0.8582736120549466,protected_higher_veto_candidate
p0_knn_pairwise_deltaR_mean,0.09030132873408858,0.16517664495642384,-0.07487531622233526,0.5466955041447655,-0.842796800514297,confused_higher_trigger_candidate
p0_knn_size,15.75,15.363636363636363,0.3863636363636367,1.0251479289924461,0.816256690806069,protected_higher_veto_candidate
p0_knn_hard_hadron_count,2.6875,3.8181818181818183,-1.1306818181818183,0.7038690476966057,-0.7939372538681899,confused_higher_trigger_candidate
second_lepton_pt,1.2083792984485626,5.214358427307823,-4.00597912885926,0.23174074357613908,-0.6868488331871041,confused_higher_trigger_candidate
p0_iso,0.3132298762483123,0.334290033358261,-0.02106015710994874,0.9370003441760444,-0.6109011861165626,confused_higher_trigger_candidate
lep_knn_hard_charged_count,2.34375,3.1818181818181817,-0.8380681818181817,0.7366071429399235,-0.5844328517714749,confused_higher_trigger_candidate
lepton_hardest_hadron_pt,60.9932496547699,41.83791438016024,19.155335274609655,1.4578463233156616,0.5616112026595907,protected_higher_veto_candidate
p0_knn_hard_charged_count,2.3125,3.090909090909091,-0.7784090909090908,0.7481617647873594,-0.5394511101711215,confused_higher_trigger_candidate
lep_knn_hard_neighbor_count,5.65625,6.090909090909091,-0.43465909090909083,0.9286380597132087,-0.5011637221299636,confused_higher_trigger_candidate
lep_knn_muon_frac,0.05494791688397527,0.02954545549371026,0.02540246139026501,1.8597755595914647,0.48380298602030375,protected_higher_veto_candidate
p0_knn_sum_pt,527.0839212797582,417.75446688045156,109.32945439930666,1.2617074455611546,0.46235347145062683,protected_higher_veto_candidate
p0_knn_muon_frac,0.05299479188397527,0.02954545549371026,0.02344933639026501,1.793669794719773,0.44293983207058624,protected_higher_veto_candidate
p0_knn_mean_pt,33.299263748448965,27.018446683883667,6.280817064565298,1.232464032363463,0.42893138369409334,protected_higher_veto_candidate
p0_knn_hard_neighbor_count,5.65625,6.0,-0.34375,0.942708333342882,-0.408891948411649,confused_higher_trigger_candidate
p0_knn_deltaR_to_center_min,0.0005546098014974632,0.010937707244011108,-0.010383097442513645,0.05070630785943096,-0.4046028299006296,confused_higher_trigger_candidate
lep_knn_deltaR_to_center_min,0.0005546098014974632,0.010937707244011108,-0.010383097442513645,0.05070630785943096,-0.4046028299006296,confused_higher_trigger_candidate
phase1_deltaR_p0_lepton,0.003105306406382624,0.06058722962982508,-0.057481923223442456,0.05125349639027707,-0.4032497897558436,confused_higher_trigger_candidate
computed_deltaR_p0_lepton,0.003105306406382624,0.06058722962982508,-0.057481923223442456,0.05125349639027707,-0.4032497897558436,confused_higher_trigger_candidate
best_lepton_idx,0.03125,0.2727272727272727,-0.2414772727272727,0.1145833365798611,-0.37053308897533344,confused_higher_trigger_candidate
lep_knn_hadron_frac,0.44895833333333335,0.5117424242424242,-0.06278409090909087,0.8773131016461093,-0.3012316342789782,confused_higher_trigger_candidate
lep_knn_neutral_hadron_frac,0.07265625009313226,0.10075757720253685,-0.028101327109404592,0.7210996174112384,-0.270173420737799,confused_higher_trigger_candidate
p0_is_lepton_aligned,0.96875,0.9090909090909091,0.05965909090909094,1.0656249999278125,0.24139525620589994,protected_higher_veto_candidate
p0_idx_equals_best_lepton,0.96875,0.9090909090909091,0.05965909090909094,1.0656249999278125,0.24139525620589994,protected_higher_veto_candidate
lep_knn_hadron_count,7.0625,7.818181818181818,-0.7556818181818183,0.9033430232681771,-0.23503011431085943,confused_higher_trigger_candidate
p0_pt,268.55306243896484,292.22074127197266,-23.667678833007812,0.919007532696322,-0.21716215761046592,confused_higher_trigger_candidate
p0_knn_electron_frac,0.05377604253590107,0.04166666824709286,0.012109374288808213,1.2906249649329267,0.2137395809962168,protected_higher_veto_candidate
lep_knn_charged_hadron_frac,0.3763020853511989,0.4109848575158553,-0.03468277216465637,0.9156105840738209,-0.18227709047631677,confused_higher_trigger_candidate
lep_knn_charged_frac,0.3763020833333333,0.41098484848484845,-0.03468276515151514,0.9156105992836756,-0.18227705648388912,confused_higher_trigger_candidate
p0_knn_max_pt,264.72300362586975,285.6495295437899,-20.926525917920173,0.9267405552837121,-0.17637092413039748,confused_higher_trigger_candidate
lep_knn_max_pt,264.72300362586975,245.1219392256303,19.601064400239437,1.0799645452466702,0.16036829416658502,protected_higher_veto_candidate
lep_knn_photon_frac,0.4423177121207118,0.4109848575158553,0.03133285460485652,1.076238464643212,0.15417296292668675,protected_higher_veto_candidate
lep_knn_charged_count,5.90625,6.2727272727272725,-0.3664772727272725,0.9415760869658357,-0.12614639188634888,confused_higher_trigger_candidate
best_lepton_pt,265.65649604797363,251.69315095381305,13.963345094160587,1.055477652217352,0.12106453294628651,protected_higher_veto_candidate
p0_knn_photon_frac,0.4462239621207118,0.4678030393340371,-0.021579077213325304,0.9538714472699522,-0.119535700808833,confused_higher_trigger_candidate
lep_knn_electron_frac,0.05377604253590107,0.04772727462378415,0.00604876791211692,1.1267360818957495,0.10804801113669266,protected_higher_veto_candidate
p0_knn_neutral_hadron_frac,0.07265625009313226,0.08257575874978845,-0.009919508656656195,0.8798738432838747,-0.0961119270306855,confused_higher_trigger_candidate
p0_knn_hadron_frac,0.44700520833333335,0.46098484848484844,-0.013979640151515094,0.9696744043385864,-0.07634940351904423,confused_higher_trigger_candidate
p0_knn_charged_hadron_frac,0.3743489603511989,0.3784090984951366,-0.004060138143937686,0.9892705060492609,-0.023520595713520838,confused_higher_trigger_candidate
p0_knn_charged_frac,0.3743489583333333,0.37840909090909086,-0.004060132575757547,0.9892705205488748,-0.023520563812691558,confused_higher_trigger_candidate
p0_knn_charged_count,5.875,5.818181818181818,0.05681818181818166,1.0097656249983216,0.02142661250546485,protected_higher_veto_candidate
p0_knn_hadron_count,7.03125,7.090909090909091,-0.05965909090909083,0.9915865384627249,-0.020887606333029978,confused_higher_trigger_candidate
p0_knn_pairwise_deltaR_min,3.162277789670043e-05,3.162277789670043e-05,0.0,1.0,0.0,confused_higher_trigger_candidate
lep_knn_pairwise_deltaR_min,3.162277789670043e-05,3.162277789670043e-05,0.0,1.0,0.0,confused_higher_trigger_candidate
