particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
particle0,L2_ch128:160,label_Tbl,4.873992368957261,2.873595776872776,2.1235957766918228,-2.000396592084485,0.750000000180953,1.1430837667872231,0,1.5002974444253414,PATH: particle0 -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-2.0004; B-C=0.7500; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch0:32,label_Tbl,0,757.2585598791193,82.69977370633751,757.2585598791193,674.5587861727818,1.120936586687279,0,510815.4149710075,PATH: hardest_hadron -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=757.2586; B-C=674.5588; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch0:32,label_Tbl,148.16991902585204,0,139.77037047235626,-148.16991902585204,-139.77037047235626,1.0525646734370773,0,20709.76447510237,PATH: particle0_best_lepton -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-148.1699; B-C=-139.7704; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch32:64,label_Tbl,0,12.137627809426021,1.105750868468716,12.137627809426021,11.031876940957305,1.0087892245729952,0,133.90081634872905,PATH: particle0 -> L2_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=12.1376; B-C=11.0319; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch64:96,label_Tbl,5.529760571197926,0.33375624489096367,4.840161987846037,-5.196004326306962,-4.5064057429550735,0.9436290329594327,0,23.4153037364891,PATH: best_lepton -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-5.1960; B-C=-4.5064; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch224:256,label_Tbl,12.49308847822249,31.870878759591506,11.632968495358588,19.377790281369016,20.237910264232916,0.9124151124229696,0,392.1659808334708,PATH: particle0 -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=19.3778; B-C=20.2379; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch32:64,label_Tbl,72.67897117040054,79.25866643803346,85.85139370961303,6.579695267632914,-6.592727271579577,0.8665786393067806,0,43.37813642960659,PATH: photon_neighbor -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=6.5797; B-C=-6.5927; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L2_ch96:128,label_Tbl,0,-2.892543778736922,-0.38450834504483095,-2.892543778736922,-2.508035433692091,0.824548050728386,0,7.254602290577816,PATH: other_lepton -> L2_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-2.8925; B-C=-2.5080; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch32:64,label_Tbl,-0.2656662615154803,1.0284673384662426,1.647327604969366,1.294133599981723,-0.6188602665031233,0.7994103177151678,0,0.8008878645753355,PATH: hardest_hadron -> L2_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=1.2941; B-C=-0.6189; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch0:32,label_Tbl,243.66398488898028,205.12221850510014,157.162506017124,-38.541766383880145,47.959712487976134,0.7872139035404977,0,1848.4520345496353,PATH: hadron_neighbor -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-38.5418; B-C=47.9597; NEXT_PROBE: inspect particle geometry/source blocks.
