particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
photon_neighbor,L1_ch96:128,label_Tbl,266.7259637011162,195.85718100581215,154.20739870087647,-70.86878269530405,41.649782304935684,1.6616446524535413,0,2951.669371475207,PATH: photon_neighbor -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-70.8688; B-C=41.6498; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch0:32,label_Tbl,188.55994856872084,118.59603348509954,157.46016134038007,-69.9639150836213,-38.86412785528053,1.755059469446129,0,2719.086541065848,PATH: hard_hadron -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-69.9639; B-C=-38.8641; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch96:128,label_Tbl,219.1759459890317,258.0701895899134,188.51010839883008,38.89424360088171,69.56008119108333,0.5512216389824218,0,2705.486742743105,PATH: hard_hadron -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=38.8942; B-C=69.5601; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch0:32,label_Tbl,243.66398488898028,205.12221850510014,157.162506017124,-38.541766383880145,47.959712487976134,0.7872139035404977,0,1848.4520345496353,PATH: hadron_neighbor -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-38.5418; B-C=47.9597; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L0_ch32:64,label_Hqql,190.2114888764445,171.4859610638067,75.68068500691341,-18.72552781263778,95.8052760568933,0,18.72552781263778,1794.004361400796,PATH: hadron_neighbor -> L0_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-18.7255; B-C=95.8053; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch64:96,label_Hqql,121.93966086820363,131.46327117043884,-38.3402725551285,9.523610302235213,169.80354372556735,0,0,1617.1427783808606,PATH: photon_neighbor -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=9.5236; B-C=169.8035; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch0:32,label_Hqql,596.7786039340359,593.5671929463305,98.04887564693367,-3.211410987705449,495.5183172993968,0,3.211410987705449,1591.3129687845978,PATH: photon_neighbor -> L0_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-3.2114; B-C=495.5183; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch32:64,label_Hqql,68.50050704193691,43.8928205683629,-10.206815898003857,-24.607686473574013,54.09963646636676,0,24.607686473574013,1331.2668924986847,PATH: hadron_neighbor -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-24.6077; B-C=54.0996; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch32:64,label_Tbl,31.354457907585164,53.51720053487522,110.69546891601365,22.162742627290058,-57.17826838113843,0.3809453812220249,0,1267.227246005288,PATH: photon_neighbor -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=22.1627; B-C=-57.1783; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch64:96,label_Tbl,174.54555942297054,192.00454333399853,122.77569589533968,17.458983911027985,69.22884743865885,0.24860131623657183,0,1208.6653336105558,PATH: hard_hadron -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=17.4590; B-C=69.2288; NEXT_PROBE: inspect particle geometry/source blocks.
