control,class_id,class_label,n,acc,acc_drop_from_baseline,pred_flip_rate,delta_base_pred_logit_mean
remove_top2,7,label_Wqq,256,0.45703125,0.2734375,0.47265625,-4.173199653625488
remove_top2,8,label_Tbqq,256,0.83984375,0.06640625,0.140625,-2.5627729892730713
remove_top2,9,label_Tbl,256,0.07421875,0.89453125,0.93359375,-17.383644104003906
keep_top2,0,label_QCD,256,0.63671875,0.0625,0.48046875,-13.179068565368652
keep_top2,1,label_Hbb,256,0.0078125,0.640625,0.9609375,-24.887300491333008
keep_top2,2,label_Hcc,256,0.0,0.58203125,0.97265625,-22.6617488861084
keep_top2,3,label_Hgg,256,0.0,0.69140625,0.94921875,-22.00316047668457
keep_top2,4,label_H4q,256,0.22265625,0.55859375,0.8125,-19.496963500976562
keep_top2,5,label_Hqql,256,0.6640625,0.29296875,0.3515625,-5.366921424865723
keep_top2,6,label_Zqq,256,0.0859375,0.5234375,0.80859375,-15.28018856048584
keep_top2,7,label_Wqq,256,0.26953125,0.4609375,0.69921875,-14.859904289245605
keep_top2,8,label_Tbqq,256,0.015625,0.890625,0.984375,-28.77861976623535
keep_top2,9,label_Tbl,256,0.52734375,0.44140625,0.45703125,-1.4629836082458496
random_remove2_r0,0,label_QCD,256,0.69140625,0.0078125,0.06640625,-0.03835654258728027
random_remove2_r0,1,label_Hbb,256,0.55859375,0.08984375,0.1484375,-0.31882354617118835
random_remove2_r0,2,label_Hcc,256,0.5390625,0.04296875,0.1640625,-0.36745280027389526
random_remove2_r0,3,label_Hgg,256,0.66796875,0.0234375,0.046875,-0.06039780378341675
random_remove2_r0,4,label_H4q,256,0.8046875,-0.0234375,0.06640625,-0.021295368671417236
random_remove2_r0,5,label_Hqql,256,0.8828125,0.07421875,0.08203125,-1.2212045192718506
random_remove2_r0,6,label_Zqq,256,0.53125,0.078125,0.14453125,-0.2650606632232666
random_remove2_r0,7,label_Wqq,256,0.73046875,0.0,0.109375,-0.2526644766330719
random_remove2_r0,8,label_Tbqq,256,0.89453125,0.01171875,0.0234375,-0.17651057243347168
random_remove2_r0,9,label_Tbl,256,0.89453125,0.07421875,0.08203125,-1.0989317893981934
random_remove2_r1,0,label_QCD,256,0.6875,0.01171875,0.07421875,-0.17512249946594238
random_remove2_r1,1,label_Hbb,256,0.5625,0.0859375,0.12109375,-0.20886248350143433
random_remove2_r1,2,label_Hcc,256,0.56640625,0.015625,0.1640625,-0.24932536482810974
random_remove2_r1,3,label_Hgg,256,0.64453125,0.046875,0.078125,-0.09156136214733124
random_remove2_r1,4,label_H4q,256,0.80859375,-0.02734375,0.05078125,-0.015491247177124023
random_remove2_r1,5,label_Hqql,256,0.9140625,0.04296875,0.0859375,-0.8681719303131104
random_remove2_r1,6,label_Zqq,256,0.50390625,0.10546875,0.1796875,-0.4348497986793518
random_remove2_r1,7,label_Wqq,256,0.75390625,-0.0234375,0.1171875,-0.45387277007102966
random_remove2_r1,8,label_Tbqq,256,0.90234375,0.00390625,0.03125,-0.1733449101448059
random_remove2_r1,9,label_Tbl,256,0.86328125,0.10546875,0.109375,-1.7527720928192139
random_remove2_r2,0,label_QCD,256,0.69140625,0.0078125,0.0703125,-0.0784461498260498
random_remove2_r2,1,label_Hbb,256,0.609375,0.0390625,0.1015625,-0.23498469591140747
random_remove2_r2,2,label_Hcc,256,0.5859375,-0.00390625,0.12890625,-0.20202407240867615
random_remove2_r2,3,label_Hgg,256,0.67578125,0.015625,0.0703125,-0.07228164374828339
random_remove2_r2,4,label_H4q,256,0.80078125,-0.01953125,0.08203125,-0.03359830379486084
random_remove2_r2,5,label_Hqql,256,0.87109375,0.0859375,0.109375,-1.339910864830017
random_remove2_r2,6,label_Zqq,256,0.51171875,0.09765625,0.1640625,-0.26338469982147217
random_remove2_r2,7,label_Wqq,256,0.73828125,-0.0078125,0.13671875,-0.27322623133659363
random_remove2_r2,8,label_Tbqq,256,0.90625,0.0,0.02734375,-0.12565940618515015
random_remove2_r2,9,label_Tbl,256,0.91015625,0.05859375,0.05859375,-0.6998095512390137
remove_top4,0,label_QCD,256,0.56640625,0.1328125,0.36328125,-4.324078559875488
remove_top4,1,label_Hbb,256,0.3359375,0.3125,0.55859375,-6.123702526092529
remove_top4,2,label_Hcc,256,0.0546875,0.52734375,0.76171875,-6.865714073181152
remove_top4,3,label_Hgg,256,0.671875,0.01953125,0.26953125,-2.714676856994629
remove_top4,4,label_H4q,256,0.74609375,0.03515625,0.20703125,-3.0580544471740723
remove_top4,5,label_Hqql,256,0.09375,0.86328125,0.91015625,-18.42993927001953
remove_top4,6,label_Zqq,256,0.08984375,0.51953125,0.84765625,-7.5544023513793945
remove_top4,7,label_Wqq,256,0.2109375,0.51953125,0.75,-7.735700607299805
remove_top4,8,label_Tbqq,256,0.703125,0.203125,0.2734375,-4.905047416687012
remove_top4,9,label_Tbl,256,0.01953125,0.94921875,0.98046875,-20.936870574951172
keep_top4,0,label_QCD,256,0.640625,0.05859375,0.45703125,-9.230377197265625
keep_top4,1,label_Hbb,256,0.0078125,0.640625,0.95703125,-18.654340744018555
keep_top4,2,label_Hcc,256,0.0,0.58203125,0.9609375,-16.27338981628418
keep_top4,3,label_Hgg,256,0.0,0.69140625,0.9140625,-17.549163818359375
keep_top4,4,label_H4q,256,0.53515625,0.24609375,0.5703125,-14.446083068847656
keep_top4,5,label_Hqql,256,0.89453125,0.0625,0.12890625,-1.6749887466430664
keep_top4,6,label_Zqq,256,0.078125,0.53125,0.83203125,-11.57979965209961
keep_top4,7,label_Wqq,256,0.375,0.35546875,0.6171875,-9.53515625
keep_top4,8,label_Tbqq,256,0.01171875,0.89453125,0.96875,-21.6895694732666
keep_top4,9,label_Tbl,256,0.37890625,0.58984375,0.59765625,-1.7869751453399658
random_remove4_r0,0,label_QCD,256,0.6875,0.01171875,0.12890625,-0.09103727340698242
random_remove4_r0,1,label_Hbb,256,0.5234375,0.125,0.21875,-0.7821090221405029
random_remove4_r0,2,label_Hcc,256,0.48828125,0.09375,0.2578125,-0.7216123938560486
random_remove4_r0,3,label_Hgg,256,0.671875,0.01953125,0.140625,-0.22423923015594482
random_remove4_r0,4,label_H4q,256,0.8359375,-0.0546875,0.08984375,-0.07191425561904907
random_remove4_r0,5,label_Hqql,256,0.83203125,0.125,0.171875,-1.9753127098083496
random_remove4_r0,6,label_Zqq,256,0.44921875,0.16015625,0.2890625,-0.68392014503479
random_remove4_r0,7,label_Wqq,256,0.73828125,-0.0078125,0.1640625,-0.7550978660583496
random_remove4_r0,8,label_Tbqq,256,0.87890625,0.02734375,0.05078125,-0.42952674627304077
random_remove4_r0,9,label_Tbl,256,0.765625,0.203125,0.21484375,-3.276353359222412
random_remove4_r1,0,label_QCD,256,0.70703125,-0.0078125,0.15625,-0.28459644317626953
random_remove4_r1,1,label_Hbb,256,0.53515625,0.11328125,0.2109375,-0.6209798455238342
random_remove4_r1,2,label_Hcc,256,0.5546875,0.02734375,0.25,-0.6058293581008911
random_remove4_r1,3,label_Hgg,256,0.65234375,0.0390625,0.11328125,-0.12700039148330688
random_remove4_r1,4,label_H4q,256,0.82421875,-0.04296875,0.109375,-0.10013222694396973
random_remove4_r1,5,label_Hqql,256,0.80078125,0.15625,0.18359375,-2.52937912940979
random_remove4_r1,6,label_Zqq,256,0.45703125,0.15234375,0.28515625,-0.9163253903388977
random_remove4_r1,7,label_Wqq,256,0.7421875,-0.01171875,0.2109375,-0.7823454737663269
random_remove4_r1,8,label_Tbqq,256,0.85546875,0.05078125,0.06640625,-0.5585099458694458
random_remove4_r1,9,label_Tbl,256,0.75390625,0.21484375,0.234375,-3.2040488719940186
random_remove4_r2,0,label_QCD,256,0.67578125,0.0234375,0.14453125,-0.3600810766220093
random_remove4_r2,1,label_Hbb,256,0.5078125,0.140625,0.23828125,-0.7896097898483276
random_remove4_r2,2,label_Hcc,256,0.45703125,0.125,0.30078125,-0.8274307250976562
random_remove4_r2,3,label_Hgg,256,0.61328125,0.078125,0.171875,-0.22274208068847656
random_remove4_r2,4,label_H4q,256,0.82421875,-0.04296875,0.09375,-0.10081601142883301
random_remove4_r2,5,label_Hqql,256,0.8125,0.14453125,0.17578125,-2.268561363220215
random_remove4_r2,6,label_Zqq,256,0.484375,0.125,0.234375,-0.6504426002502441
random_remove4_r2,7,label_Wqq,256,0.703125,0.02734375,0.1875,-0.7782860398292542
random_remove4_r2,8,label_Tbqq,256,0.890625,0.015625,0.0703125,-0.4374426007270813
random_remove4_r2,9,label_Tbl,256,0.8046875,0.1640625,0.19140625,-2.2296884059906006
remove_top8,0,label_QCD,256,0.640625,0.05859375,0.3515625,-5.7799272537231445
remove_top8,1,label_Hbb,256,0.1640625,0.484375,0.70703125,-9.832399368286133
remove_top8,2,label_Hcc,256,0.01171875,0.5703125,0.8203125,-10.900668144226074
remove_top8,3,label_Hgg,256,0.66015625,0.03125,0.33984375,-4.806887149810791
remove_top8,4,label_H4q,256,0.69140625,0.08984375,0.28125,-5.66110372543335
remove_top8,5,label_Hqql,256,0.046875,0.91015625,0.94921875,-21.879995346069336
remove_top8,6,label_Zqq,256,0.00390625,0.60546875,0.9296875,-11.15761947631836
remove_top8,7,label_Wqq,256,0.0234375,0.70703125,0.92578125,-11.54080581665039
remove_top8,8,label_Tbqq,256,0.4453125,0.4609375,0.54296875,-8.555340766906738
remove_top8,9,label_Tbl,256,0.00390625,0.96484375,0.99609375,-22.125198364257812
keep_top8,0,label_QCD,256,0.63671875,0.0625,0.44921875,-5.858552932739258
keep_top8,1,label_Hbb,256,0.03515625,0.61328125,0.9140625,-10.767576217651367
keep_top8,2,label_Hcc,256,0.1015625,0.48046875,0.83984375,-7.794617652893066
keep_top8,3,label_Hgg,256,0.0,0.69140625,0.890625,-11.622549057006836
keep_top8,4,label_H4q,256,0.69921875,0.08203125,0.42578125,-6.988883972167969
keep_top8,5,label_Hqql,256,0.921875,0.03515625,0.078125,0.45348548889160156
keep_top8,6,label_Zqq,256,0.14453125,0.46484375,0.70703125,-4.99091911315918
keep_top8,7,label_Wqq,256,0.640625,0.08984375,0.37890625,-3.5534486770629883
keep_top8,8,label_Tbqq,256,0.05859375,0.84765625,0.9296875,-12.651467323303223
keep_top8,9,label_Tbl,256,0.53515625,0.43359375,0.44140625,-0.5210578441619873
random_remove8_r0,0,label_QCD,256,0.65625,0.04296875,0.20703125,-0.934664249420166
random_remove8_r0,1,label_Hbb,256,0.38671875,0.26171875,0.42578125,-1.9414207935333252
random_remove8_r0,2,label_Hcc,256,0.39453125,0.1875,0.4296875,-2.031510353088379
random_remove8_r0,3,label_Hgg,256,0.578125,0.11328125,0.203125,-0.5706610083580017
random_remove8_r0,4,label_H4q,256,0.8359375,-0.0546875,0.13671875,-0.23598897457122803
random_remove8_r0,5,label_Hqql,256,0.6328125,0.32421875,0.36328125,-6.228585243225098
random_remove8_r0,6,label_Zqq,256,0.3359375,0.2734375,0.45703125,-2.0123980045318604
random_remove8_r0,7,label_Wqq,256,0.66015625,0.0703125,0.30078125,-2.0026779174804688
random_remove8_r0,8,label_Tbqq,256,0.81640625,0.08984375,0.13671875,-1.5432058572769165
random_remove8_r0,9,label_Tbl,256,0.55859375,0.41015625,0.4296875,-7.6204938888549805
random_remove8_r1,0,label_QCD,256,0.6796875,0.01953125,0.22265625,-0.7739320993423462
random_remove8_r1,1,label_Hbb,256,0.3984375,0.25,0.44140625,-1.9685733318328857
random_remove8_r1,2,label_Hcc,256,0.359375,0.22265625,0.45703125,-2.259016513824463
random_remove8_r1,3,label_Hgg,256,0.55078125,0.140625,0.25,-0.6123983263969421
random_remove8_r1,4,label_H4q,256,0.859375,-0.078125,0.1484375,-0.3314328193664551
random_remove8_r1,5,label_Hqql,256,0.734375,0.22265625,0.26953125,-4.252844333648682
random_remove8_r1,6,label_Zqq,256,0.2890625,0.3203125,0.4375,-1.760892629623413
random_remove8_r1,7,label_Wqq,256,0.6796875,0.05078125,0.3125,-1.9546083211898804
random_remove8_r1,8,label_Tbqq,256,0.796875,0.109375,0.15625,-1.376947283744812
random_remove8_r1,9,label_Tbl,256,0.53515625,0.43359375,0.453125,-7.931824684143066
random_remove8_r2,0,label_QCD,256,0.65625,0.04296875,0.24609375,-1.0159051418304443
random_remove8_r2,1,label_Hbb,256,0.3671875,0.28125,0.421875,-1.6660219430923462
random_remove8_r2,2,label_Hcc,256,0.37109375,0.2109375,0.44921875,-2.2630720138549805
random_remove8_r2,3,label_Hgg,256,0.55859375,0.1328125,0.22265625,-0.489843487739563
random_remove8_r2,4,label_H4q,256,0.85546875,-0.07421875,0.140625,-0.23781514167785645
random_remove8_r2,5,label_Hqql,256,0.703125,0.25390625,0.30078125,-4.641267776489258
random_remove8_r2,6,label_Zqq,256,0.3203125,0.2890625,0.48046875,-2.2745137214660645
random_remove8_r2,7,label_Wqq,256,0.6328125,0.09765625,0.296875,-2.0265085697174072
random_remove8_r2,8,label_Tbqq,256,0.8125,0.09375,0.12109375,-1.2664134502410889
random_remove8_r2,9,label_Tbl,256,0.53515625,0.43359375,0.45703125,-7.874174118041992
remove_top16,0,label_QCD,256,0.8203125,-0.12109375,0.3203125,-8.674988746643066
remove_top16,1,label_Hbb,256,0.02734375,0.62109375,0.8828125,-13.40583610534668
remove_top16,2,label_Hcc,256,0.0,0.58203125,0.8984375,-14.070998191833496
remove_top16,3,label_Hgg,256,0.640625,0.05078125,0.43359375,-8.184793472290039
remove_top16,4,label_H4q,256,0.3671875,0.4140625,0.6015625,-9.804424285888672
remove_top16,5,label_Hqql,256,0.00390625,0.953125,0.9921875,-26.06163787841797
remove_top16,6,label_Zqq,256,0.0,0.609375,0.9609375,-14.641844749450684
remove_top16,7,label_Wqq,256,0.0,0.73046875,0.9375,-15.194282531738281
remove_top16,8,label_Tbqq,256,0.12109375,0.78515625,0.84375,-13.156280517578125
remove_top16,9,label_Tbl,256,0.0,0.96875,1.0,-24.528926849365234
keep_top16,0,label_QCD,256,0.5703125,0.12890625,0.3671875,-2.541820526123047
keep_top16,1,label_Hbb,256,0.2109375,0.4375,0.671875,-2.5392239093780518
keep_top16,2,label_Hcc,256,0.46875,0.11328125,0.46484375,-1.6307364702224731
keep_top16,3,label_Hgg,256,0.0,0.69140625,0.86328125,-5.2050371170043945
keep_top16,4,label_H4q,256,0.7578125,0.0234375,0.31640625,-1.3168175220489502
keep_top16,5,label_Hqql,256,0.95703125,0.0,0.015625,0.85440993309021
keep_top16,6,label_Zqq,256,0.34765625,0.26171875,0.47265625,-0.9221576452255249
keep_top16,7,label_Wqq,256,0.82421875,-0.09375,0.17578125,-0.2946961224079132
keep_top16,8,label_Tbqq,256,0.421875,0.484375,0.55859375,-3.6880197525024414
keep_top16,9,label_Tbl,256,0.83203125,0.13671875,0.14453125,0.26824259757995605
random_remove16_r0,0,label_QCD,256,0.609375,0.08984375,0.3515625,-4.40511417388916
random_remove16_r0,1,label_Hbb,256,0.16015625,0.48828125,0.734375,-5.823649883270264
random_remove16_r0,2,label_Hcc,256,0.1171875,0.46484375,0.7578125,-6.509911060333252
random_remove16_r0,3,label_Hgg,256,0.37890625,0.3125,0.46484375,-1.78155517578125
random_remove16_r0,4,label_H4q,256,0.8828125,-0.1015625,0.1796875,-1.0064785480499268
random_remove16_r0,5,label_Hqql,256,0.33984375,0.6171875,0.6484375,-14.320069313049316
random_remove16_r0,6,label_Zqq,256,0.1015625,0.5078125,0.76171875,-7.286564350128174
random_remove16_r0,7,label_Wqq,256,0.37890625,0.3515625,0.63671875,-7.080373287200928
random_remove16_r0,8,label_Tbqq,256,0.55859375,0.34765625,0.40625,-4.014492034912109
random_remove16_r0,9,label_Tbl,256,0.265625,0.703125,0.72265625,-16.789348602294922
random_remove16_r1,0,label_QCD,256,0.625,0.07421875,0.3359375,-4.1819257736206055
random_remove16_r1,1,label_Hbb,256,0.18359375,0.46484375,0.72265625,-6.097463607788086
random_remove16_r1,2,label_Hcc,256,0.06640625,0.515625,0.8046875,-6.94487190246582
random_remove16_r1,3,label_Hgg,256,0.359375,0.33203125,0.47265625,-1.679744005203247
random_remove16_r1,4,label_H4q,256,0.890625,-0.109375,0.22265625,-1.1638705730438232
random_remove16_r1,5,label_Hqql,256,0.35546875,0.6015625,0.6484375,-13.995444297790527
random_remove16_r1,6,label_Zqq,256,0.09375,0.515625,0.7734375,-6.542316913604736
random_remove16_r1,7,label_Wqq,256,0.33984375,0.390625,0.65234375,-7.524911880493164
random_remove16_r1,8,label_Tbqq,256,0.57421875,0.33203125,0.390625,-4.3307600021362305
random_remove16_r1,9,label_Tbl,256,0.3125,0.65625,0.6796875,-16.107288360595703
random_remove16_r2,0,label_QCD,256,0.609375,0.08984375,0.3515625,-4.483359336853027
random_remove16_r2,1,label_Hbb,256,0.1796875,0.46875,0.71875,-5.709232807159424
random_remove16_r2,2,label_Hcc,256,0.078125,0.50390625,0.78515625,-6.77651834487915
random_remove16_r2,3,label_Hgg,256,0.35546875,0.3359375,0.45703125,-1.8368356227874756
random_remove16_r2,4,label_H4q,256,0.90625,-0.125,0.2109375,-1.2043302059173584
random_remove16_r2,5,label_Hqql,256,0.35546875,0.6015625,0.63671875,-14.393112182617188
random_remove16_r2,6,label_Zqq,256,0.14453125,0.46484375,0.69921875,-6.464970111846924
random_remove16_r2,7,label_Wqq,256,0.3828125,0.34765625,0.625,-7.12429666519165
random_remove16_r2,8,label_Tbqq,256,0.5625,0.34375,0.3984375,-4.416537284851074
random_remove16_r2,9,label_Tbl,256,0.31640625,0.65234375,0.6796875,-16.27906036376953
